# source, target
0,1
0,274
0,39
0,167
0,109
1,144
1,3
1,3
1,148
1,189
1,171
1,174
1,316
1,34
2,1
2,3
2,106
2,148
2,148
2,145
2,103
2,245
2,318
3,1
3,59
3,118
3,165
3,302
3,2
4,1
4,3
4,74
5,1
5,346
5,190
5,263
6,1
6,37
6,168
6,27
6,278
7,1
7,37
7,274
7,274
7,254
7,257
7,278
7,225
8,1
8,18
8,62
8,168
8,275
8,287
8,111
8,335
9,1
9,176
9,82
9,242
9,286
9,344
10,11
10,68
10,86
10,364
11,148
11,364
11,151
12,11
12,173
12,74
12,245
12,192
13,14
13,37
13,134
13,193
13,292
14,330
15,16
15,219
15,118
16,320
16,200
17,18
17,19
18,76
18,119
18,235
18,133
18,193
18,345
18,325
18,55
18,179
19,18
20,18
20,29
20,258
20,56
21,18
21,30
21,177
21,257
21,189
22,18
22,168
22,312
22,346
22,346
22,160
23,18
23,98
23,235
23,118
23,55
24,18
24,82
24,5
25,18
25,18
25,203
25,25
25,194
25,264
25,256
25,206
25,287
25,225
26,18
27,18
27,46
27,218
27,109
28,18
28,202
29,30
29,134
29,46
29,141
29,141
29,141
29,141
29,156
29,365
30,282
30,150
30,163
31,30
31,37
31,337
31,48
31,353
32,32
32,32
33,32
33,173
33,252
34,35
34,160
34,5
35,141
36,37
36,53
36,144
36,148
36,8
36,156
36,156
36,241
37,118
37,193
37,193
37,232
37,167
38,37
38,148
38,326
39,37
39,216
39,331
39,191
39,210
39,149
40,37
40,79
40,98
40,119
40,134
40,312
40,326
41,42
41,360
41,129
43,42
43,3
43,306
44,45
44,58
44,134
44,46
44,251
45,22
45,259
45,343
45,136
45,236
45,308
46,45
46,353
46,353
46,36
47,45
47,72
47,155
48,45
49,50
49,141
49,344
49,111
50,115
50,117
50,166
50,52
50,148
50,353
50,51
51,50
51,95
51,130
51,330
51,337
52,50
52,162
52,87
52,87
52,142
52,118
52,206
52,148
52,311
52,34
53,258
53,330
53,156
54,20
54,78
54,229
54,219
54,274
54,247
54,197
55,20
55,20
55,168
55,230
55,345
55,197
56,20
56,29
56,231
56,193
56,268
56,55
57,20
57,334
57,179
58,144
59,306
59,136
60,59
60,298
60,328
60,236
60,356
60,200
60,132
61,29
61,46
61,0
62,29
62,218
62,96
63,29
63,274
63,312
64,60
64,131
64,3
64,328
64,331
64,317
65,66
65,142
65,206
65,278
65,341
65,151
65,311
66,144
66,247
67,68
67,162
67,216
67,356
67,156
68,274
68,290
68,33
68,163
69,68
69,176
69,219
69,206
69,88
69,114
69,207
70,68
70,148
70,210
70,207
71,68
71,139
71,57
71,320
71,346
71,236
72,65
72,238
72,164
73,72
73,346
73,48
73,351
73,15
73,163
74,4
74,181
74,216
74,223
74,264
74,89
74,236
75,76
75,131
76,345
76,160
77,76
77,62
77,87
77,302
77,287
78,138
78,168
78,47
78,284
78,277
78,0
79,78
79,21
79,299
79,44
79,346
79,5
79,5
80,81
80,264
80,260
80,306
81,3
81,235
81,141
81,323
81,342
81,8
81,349
81,360
82,81
82,142
82,188
82,193
82,75
82,336
82,313
82,164
83,84
83,162
83,82
83,219
83,133
83,0
84,330
84,325
84,197
84,225
84,2
84,251
85,62
85,194
85,148
85,156
85,365
85,225
86,62
86,249
86,148
86,148
87,62
87,110
87,162
87,194
87,283
87,67
87,331
87,317
87,326
88,62
88,125
88,250
88,273
88,174
89,62
89,123
89,144
89,142
89,206
89,278
89,312
89,290
89,96
89,263
90,91
90,306
90,318
90,202
91,254
91,189
92,79
92,86
92,3
92,118
92,154
93,79
93,201
93,141
93,257
93,342
93,202
93,149
94,79
94,148
94,148
94,284
94,210
94,225
94,368
95,238
95,313
96,95
96,126
96,3
96,6
96,88
96,225
97,98
97,168
97,292
98,144
98,82
98,294
98,358
99,98
99,222
99,294
99,156
99,109
100,98
100,298
100,226
100,345
100,225
101,98
101,142
101,139
101,195
102,98
102,117
102,166
102,232
103,98
103,142
103,156
103,153
104,105
104,148
104,320
104,156
104,111
104,326
104,225
105,168
105,203
105,219
105,290
105,182
106,105
106,86
106,87
106,264
106,247
106,306
106,225
106,263
106,109
107,108
107,176
107,216
107,194
107,257
107,175
107,306
107,74
107,179
108,107
108,333
109,110
109,123
110,142
110,274
110,139
111,110
111,126
111,127
111,182
112,110
112,165
112,320
112,175
112,322
112,358
112,152
113,110
113,87
113,87
113,82
113,188
113,158
113,330
113,156
113,197
114,110
114,3
114,222
114,148
114,148
114,333
115,86
115,258
115,6
115,257
115,148
115,353
115,61
115,326
115,326
116,117
116,119
116,296
116,193
116,193
116,353
116,335
117,118
117,143
117,353
117,308
118,117
118,166
118,274
118,274
118,365
119,123
119,3
119,118
119,233
119,89
119,323
119,47
119,8
119,263
120,119
120,187
121,119
121,189
122,123
122,86
122,201
122,339
122,344
122,88
122,280
122,360
123,274
123,274
123,274
123,141
123,148
123,148
123,302
123,351
123,80
123,209
124,123
124,21
124,283
124,6
124,201
125,123
125,144
125,156
125,174
126,101
126,142
126,127
126,127
127,126
127,126
127,138
127,111
127,326
128,126
128,144
128,25
128,206
128,156
129,126
129,86
129,222
129,141
129,127
129,156
130,176
130,257
130,325
130,192
131,130
131,125
131,216
131,216
131,230
131,274
131,39
132,125
132,87
132,87
132,106
132,323
132,145
132,202
132,263
133,125
133,216
133,164
134,142
134,206
134,278
134,259
134,143
134,346
134,19
134,349
135,134
135,142
135,296
135,314
135,129
136,134
136,142
136,142
136,294
136,112
136,326
136,164
136,358
137,138
137,296
137,148
137,148
137,358
138,3
138,127
138,265
138,293
139,138
139,101
139,243
139,63
139,150
140,138
140,168
140,139
140,140
141,138
141,39
141,202
141,365
142,138
142,144
142,168
142,274
143,138
143,274
143,156
143,164
144,138
144,219
144,56
144,283
144,169
144,127
144,156
144,156
145,146
145,26
145,282
146,312
146,323
147,146
147,338
147,160
147,238
147,359
148,86
148,3
148,3
148,235
148,94
148,283
148,189
148,291
148,225
148,368
149,86
149,283
149,148
149,210
150,86
150,214
150,156
150,152
151,86
151,86
151,148
151,174
152,86
152,216
152,193
152,164
153,86
153,21
153,274
153,274
153,145
153,331
153,306
153,19
154,86
154,214
154,274
154,148
154,189
154,157
155,86
155,217
156,86
156,144
156,194
156,56
156,274
156,328
156,143
156,338
156,280
156,147
157,86
157,3
157,106
157,145
158,86
159,86
159,6
159,206
159,330
159,156
159,156
159,151
160,161
160,169
160,343
160,182
161,100
161,222
161,257
162,3
162,67
162,318
162,155
163,162
163,177
163,87
163,3
163,148
163,331
163,317
163,200
164,100
164,261
164,306
164,355
164,358
165,100
165,179
166,274
166,118
166,102
167,166
167,274
167,344
167,326
168,166
168,258
168,133
168,289
168,226
168,0
169,170
169,144
169,156
170,107
170,144
170,267
170,150
170,164
171,170
171,235
171,141
171,165
171,265
172,170
172,274
172,65
172,342
172,207
173,306
173,360
173,55
173,179
173,207
174,173
174,168
174,296
174,267
175,107
175,186
175,189
175,200
175,324
176,107
176,144
176,275
177,223
178,177
178,118
178,233
178,294
178,171
178,217
178,164
178,152
179,177
179,264
179,106
179,296
179,140
179,156
179,182
180,177
180,264
180,206
180,193
180,259
182,181
182,82
182,89
182,48
182,8
182,326
182,326
182,2
183,181
183,87
183,97
183,210
183,326
183,167
183,263
184,176
184,264
184,342
184,136
185,176
185,82
185,240
186,242
186,55
186,292
187,144
187,175
187,324
188,144
188,189
188,338
188,191
189,144
189,142
189,56
189,189
189,324
189,225
190,144
190,219
190,8
190,156
190,225
190,174
191,144
191,156
191,156
191,163
192,144
192,174
193,144
193,168
193,56
193,332
193,48
193,156
194,144
194,336
194,156
194,156
194,207
195,144
195,140
196,144
196,296
196,158
196,236
196,55
197,168
197,168
197,243
197,274
197,247
197,275
197,109
198,168
198,249
198,250
198,174
199,168
200,168
200,233
200,225
201,26
201,346
201,48
201,19
202,26
203,216
203,67
203,290
203,55
203,292
204,205
204,22
205,264
205,330
205,147
206,25
206,165
206,147
207,25
207,206
207,278
207,286
207,287
207,287
208,87
208,87
208,346
209,87
209,342
210,87
210,264
210,319
210,294
210,362
211,87
211,142
211,194
211,27
211,330
211,96
211,156
211,225
212,87
212,274
213,87
213,323
213,325
213,132
213,263
214,46
215,214
215,140
215,347
215,365
215,263
216,106
216,300
216,193
216,238
217,216
217,56
217,193
217,193
217,225
218,216
218,330
218,0
219,216
219,165
219,156
219,149
220,82
220,82
220,233
220,106
220,325
221,82
221,193
221,193
221,337
221,5
222,131
223,101
224,101
224,256
224,57
224,337
224,67
224,54
224,156
224,202
225,142
225,274
225,345
225,217
225,147
226,142
226,289
226,347
227,142
227,264
227,274
227,336
227,286
227,156
227,326
227,163
228,142
228,188
228,188
228,247
228,156
228,225
228,164
228,109
229,274
229,284
229,345
231,230
231,230
231,204
232,3
232,148
232,232
232,156
232,167
233,3
233,274
233,118
234,3
234,206
235,3
235,219
235,118
235,165
235,310
236,3
236,253
236,306
236,19
236,19
236,236
236,236
236,263
236,0
237,3
237,191
237,358
238,3
238,174
238,192
238,152
239,3
239,358
240,3
240,233
240,54
240,185
240,156
240,156
241,3
241,283
241,311
242,3
242,236
242,74
242,97
242,164
243,135
243,135
243,17
244,235
244,235
244,34
245,235
246,235
246,274
246,232
247,235
247,233
247,106
247,189
248,235
248,219
248,156
249,21
249,331
249,306
249,8
250,21
250,247
250,356
250,360
250,225
251,46
251,44
251,202
252,46
252,258
253,219
253,222
253,278
253,192
254,219
254,148
255,219
255,135
255,17
256,219
256,94
256,338
257,219
257,179
258,133
258,289
258,353
258,353
259,258
259,300
259,189
259,306
259,174
259,263
259,163
259,311
260,194
260,274
260,272
261,194
261,240
261,154
261,156
261,155
261,174
262,194
262,246
262,306
262,207
263,56
263,332
264,274
264,0
265,264
265,261
265,0
265,163
266,264
266,106
266,336
266,286
266,321
267,264
267,356
267,122
267,5
268,264
268,133
268,39
268,294
269,264
269,233
269,64
269,318
270,264
270,330
270,330
270,259
271,264
271,175
271,19
271,19
271,292
272,264
273,274
273,336
273,286
273,0
274,118
275,274
275,274
275,326
276,274
276,263
277,274
277,8
278,249
278,256
278,338
278,225
279,22
279,251
280,118
280,286
280,143
280,318
281,118
281,261
281,103
281,352
281,310
282,145
282,145
282,351
283,341
284,283
284,270
284,8
285,222
285,346
285,88
286,222
286,233
286,342
286,157
287,188
287,278
287,156
287,147
288,106
288,296
288,129
289,106
289,294
289,322
289,287
290,106
290,187
290,202
291,106
291,287
291,225
291,225
291,207
292,133
292,193
292,160
293,133
293,287
294,133
294,39
294,345
294,8
294,8
294,109
295,6
295,102
295,253
295,265
295,210
295,167
295,174
297,296
297,141
297,189
298,280
298,272
300,300
300,145
300,19
300,318
300,156
301,201
301,315
301,55
302,250
303,141
303,39
303,346
304,141
304,268
304,344
304,70
304,359
305,141
305,290
306,141
307,102
307,193
307,326
307,209
308,27
309,165
