# index, name, _pos
0,f022859b-965e-4551-86c2-41a073b7ca36,"array([-14.80521568,  14.32456837])"
1,003b9623-294b-4d46-aacc-4ef45758e89a,"array([-14.72905914,  14.21119782])"
2,dc5fc886-46d6-4462-ba35-484079500355,"array([-14.63224877,  14.22761913])"
3,3f817f41-61bd-4dce-92f1-34407db3b62c,"array([-14.68521684,  14.15693037])"
4,0f11c057-93e9-4be0-868c-9bc97b1722ce,"array([-14.65499026,  14.00928572])"
5,f32803ef-7f75-44f4-91d1-a8651555553c,"array([-14.68736124,  14.37358809])"
6,575ce383-306b-4bb9-81fa-6143dc475d80,"array([-14.88384484,  14.32268006])"
7,630e280d-fa3b-458b-8672-3d526b88dcf9,"array([-14.77658362,  14.2915463 ])"
8,a7d1a440-c754-40e1-a000-af4d2d9a2a24,"array([-14.75546381,  14.27839498])"
9,5a199c4b-af40-438d-a4f2-2ba40e086742,"array([-14.71185927,  14.10799796])"
10,aae9cc6c-03ca-45d9-920c-c6c24cb2561a,"array([-14.94927343,  14.06399252])"
11,0171bc11-9d48-48ad-995a-04ed6d03fa43,"array([-14.90102493,  14.01149517])"
12,afbd683b-ca98-424d-a5a1-2bc42e39e856,"array([-14.72207413,  13.97323579])"
13,735869fc-7277-406e-bd6b-8ca9e05ee834,"array([-14.68851388,  14.53701223])"
14,0216c125-3506-4b96-8103-3f1f145c6e4c,"array([-14.79011241,  14.65957108])"
15,b8ce8f3f-98a6-45a9-ac30-f83db925615e,"array([-14.49707859,  14.24060371])"
16,036da9d0-dbca-4ad3-9ee0-a92c3f5b4fbb,"array([-14.4308891 ,  14.11220334])"
17,b029465f-aadc-49e7-bdd0-c5d7c52a7b89,"array([-14.44921787,  14.18750785])"
18,0415c07a-a80f-4e30-866b-75fddb20ed29,"array([-14.59915398,  14.33769368])"
19,a3145c56-2a8a-4918-a582-45df140ad214,"array([-14.57111338,  14.33824027])"
20,08e6fa18-ecc9-4fc5-b210-aee1fcdb86dd,"array([-14.61824263,  14.45431636])"
21,404571d9-1393-45be-8fc5-c915fe5bebbf,"array([-14.72653026,  14.27375767])"
22,486372b4-ffd9-46b4-8a8b-b4a79bdbae44,"array([-14.65580702,  14.48558289])"
23,ec7c22e6-9ff0-4871-9cba-c27a42fc2178,"array([-14.51120298,  14.28234567])"
24,fa36abd3-09d3-4d04-ae49-47925a95a630,"array([-14.51461337,  14.45214367])"
25,342f5765-5394-46a2-a339-a582b77f3eba,"array([-14.68687046,  14.1991892 ])"
26,3115f875-0052-445b-8cfb-ef9bf26a8f1f,"array([-14.55491502,  14.49031284])"
27,616d2c04-7a90-485d-bb33-3ba918e514af,"array([-14.80804003,  14.44213879])"
28,7c793b3b-3c06-40e0-93ea-a25d7092a9b9,"array([-14.46256073,  14.50131535])"
29,0bcc8690-b1bc-4085-ad3d-f3d60794f419,"array([-14.77438421,  14.41952627])"
30,047ab62c-764b-4bb3-abc3-63576ca40275,"array([-14.71028047,  14.45439704])"
31,e71426e7-112b-42d3-8851-1fce55af6757,"array([-14.73673021,  14.59720563])"
32,04f1a898-b8e0-4c1a-bec2-20cc02aacb98,"array([-15.19557993,  14.29886542])"
33,95a68925-0a1d-49c2-89ec-c1d0d01f7c9d,"array([-15.02481158,  14.28373113])"
34,febce91a-9e31-4a12-8ca6-64d8b7605918,"array([-14.56457487,  14.37469445])"
35,04f86dfc-6922-4521-b07b-939644ec7483,"array([-14.60642072,  14.54605974])"
36,9caba850-3a51-4ce6-b705-baee2d21e8d5,"array([-14.83391815,  14.34736725])"
37,0545f378-9f85-4f31-89c8-d54cad6ed6e1,"array([-14.7950523 ,  14.40959696])"
38,e0673c63-1e9c-43b4-805c-6fb749b17fbe,"array([-14.92425259,  14.38723025])"
39,73bb2b64-ab6c-41f3-a28b-e3ff58fe25d4,"array([-14.80230473,  14.27871066])"
40,e835a917-6da5-4c3d-9879-2913755bc7ec,"array([-14.6914953 ,  14.43576681])"
41,9a2e9b81-f222-4f3f-b38d-9d2a760d5e9a,"array([-14.82446878,  13.88591081])"
42,0669bb08-7d44-4f97-b251-5cc12d610186,"array([-14.75848051,  13.79192548])"
43,4f5b15d2-24f3-404f-b9b3-6f331176ac78,"array([-14.69260645,  13.9332474 ])"
44,8ce12974-d77d-4f03-9dff-eed86c9c7df9,"array([-14.74035455,  14.55580608])"
45,06ad9633-973a-4f4f-8fcb-76b4f84a03f8,"array([-14.67246967,  14.46246368])"
46,40dc72d4-5122-4e53-9ef2-df119097077c,"array([-14.83541972,  14.53206519])"
47,6b5ed181-fa02-4519-8a65-1f2c34686bb1,"array([-14.72230775,  14.52845805])"
48,962af93f-05dc-4441-8a6b-01adf5c7a026,"array([-14.67740088,  14.50646862])"
49,637a0e7d-833e-4dd6-b6f6-9c42f0a11960,"array([-14.96721638,  14.33078694])"
50,080f193a-351b-48f2-89f3-107f3e156364,"array([-14.83743018,  14.44770157])"
51,c920d11d-ae59-41df-919c-58bf12979d8d,"array([-14.73957585,  14.50454374])"
52,5b26d558-08e4-4206-ba04-4650770e7f2c,"array([-14.75555005,  14.35361321])"
53,082b9172-b58d-44ff-b8c0-fbf37aaab919,"array([-14.86160248,  14.47772942])"
54,82ddad8e-50d3-48f8-97a7-62d666b6c31e,"array([-14.71584567,  14.31744506])"
55,da9234c2-82c8-4c81-ad4c-a11756d88816,"array([-14.61409529,  14.36941718])"
56,42828736-d758-4577-8675-a2143ae999ee,"array([-14.64835419,  14.41215026])"
57,6cbcc8ab-ebd6-4b92-957d-41b34d0d0e63,"array([-14.53398738,  14.29997743])"
58,0acb3983-b85b-4a22-ad13-dceff3923cdc,"array([-14.80336982,  14.51693476])"
59,0ae4f1bd-d6fc-41fe-8174-527bd38e8a55,"array([-14.61838024,  14.02275302])"
60,0c481b0d-6142-49e8-b388-2a74860d4590,"array([-14.54893564,  14.09055285])"
61,cbe7c41f-413e-4ef3-8c8d-5f65f3e01678,"array([-14.88884935,  14.50803795])"
62,14eb4f59-df34-4465-86de-4f830509beff,"array([-14.88161547,  14.28851315])"
63,c2927cf2-2293-46a1-a1bb-b78160eae989,"array([-14.67368642,  14.40256573])"
64,bc302d58-a44d-4e92-893e-a447f90629e2,"array([-14.59758535,  14.08122932])"
65,6977dd78-262c-4492-9588-226a0819827d,"array([-14.86315839,  14.20039674])"
66,0c589211-fac1-45c7-95c1-12a1eae7de24,"array([-14.86756492,  14.06923688])"
67,7e8d9ffc-92e0-423a-bac6-d139b8c80706,"array([-14.67708679,  14.27141638])"
68,0ec71339-86b4-406f-be29-b0ae236162c2,"array([-14.83348806,  14.21753063])"
69,151563c1-d348-45dc-bdda-9eb95e246361,"array([-14.75908209,  14.04815237])"
70,a0231f98-aeca-4160-8bb6-1109d8e057c6,"array([-14.96485344,  14.14874319])"
71,ce60acea-efc2-4657-a6f2-ea8305dfa1b8,"array([-14.66499927,  14.24993315])"
72,0f076cd5-7b33-41b8-8d66-18774229ddf5,"array([-14.71080567,  14.38764542])"
73,6418db1c-30b2-4ad8-af7f-163e5babf9a3,"array([-14.60345698,  14.42079004])"
74,b4772c73-16b3-4793-9d4d-c701628bda03,"array([-14.64232264,  14.10134433])"
75,78477a7a-5475-42a9-bf0a-8d20bf1e0848,"array([-14.46610021,  14.16415353])"
76,109693be-b2de-4f75-8f80-10cac5c8e889,"array([-14.53592438,  14.26331948])"
77,99d32acd-0498-41c0-b7bb-938d3b164aa7,"array([-14.77086196,  14.18199501])"
78,1164105a-fc53-41c0-9721-2eab6a9aef2d,"array([-14.84197042,  14.40702381])"
79,16d2326b-bcf8-487e-b670-07dded588a71,"array([-14.78639533,  14.44821448])"
