# index, _pos
0,"[-14.80521568, 14.32456837]"
1,"[-14.72905914, 14.21119782]"
2,"[-14.77306822, 14.24675427]"
3,"[-14.80230473, 14.27871066]"
4,"[-14.93456137, 14.32108679]"
5,"[-14.8140434, 14.23386019]"
6,"[-14.70463539, 14.23837379]"
7,"[-14.68521684, 14.15693037]"
8,"[-14.78822816, 14.21337371]"
9,"[-14.58238475, 14.27026275]"
10,"[-14.60210319, 14.2292406]"
11,"[-14.79180299, 14.1835378]"
12,"[-14.92658757, 14.09900325]"
13,"[-14.56457487, 14.37469445]"
14,"[-14.63224877, 14.22761913]"
15,"[-14.66611087, 14.2138898]"
16,"[-14.52214728, 14.38492868]"
17,"[-14.526755, 14.21131575]"
18,"[-14.56032121, 14.01428773]"
19,"[-14.59483154, 14.19817737]"
20,"[-14.61838024, 14.02275302]"
21,"[-14.67400618, 14.3016623]"
22,"[-14.52639467, 14.13149066]"
23,"[-14.80750289, 14.0818931]"
24,"[-14.65499026, 14.00928572]"
25,"[-14.64232264, 14.10134433]"
26,"[-14.68736124, 14.37358809]"
27,"[-14.78548264, 14.33646377]"
28,"[-14.78234275, 14.26805803]"
29,"[-14.7577987, 14.38460874]"
30,"[-14.88384484, 14.32268006]"
31,"[-14.7950523, 14.40959696]"
32,"[-14.76199765, 14.32318529]"
33,"[-14.80804003, 14.44213879]"
34,"[-14.83779213, 14.19761731]"
35,"[-14.77658362, 14.2915463]"
36,"[-14.57697279, 14.30847855]"
37,"[-14.65458354, 14.23113841]"
38,"[-14.77694873, 14.2266994]"
39,"[-14.75546381, 14.27839498]"
40,"[-14.59915398, 14.33769368]"
41,"[-14.88161547, 14.28851315]"
42,"[-14.79720255, 14.15803297]"
43,"[-14.81650144, 14.25446767]"
44,"[-14.8932695, 14.19805661]"
45,"[-14.46424847, 14.22127227]"
46,"[-14.71185927, 14.10799796]"
47,"[-14.61721001, 14.0962834]"
48,"[-14.59608465, 14.28921323]"
49,"[-14.5311725, 14.233585]"
50,"[-14.66665122, 14.06116557]"
51,"[-14.96583711, 14.18946204]"
52,"[-14.94927343, 14.06399252]"
53,"[-14.90102493, 14.01149517]"
54,"[-14.83348806, 14.21753063]"
55,"[-14.79468911, 14.24509557]"
56,"[-15.01555025, 13.94232754]"
57,"[-14.91247187, 14.16158371]"
58,"[-14.72207413, 13.97323579]"
59,"[-14.80804607, 14.13672503]"
60,"[-14.66843616, 14.1096234]"
61,"[-14.68851388, 14.53701223]"
62,"[-14.79011241, 14.65957108]"
63,"[-14.69399544, 14.31001097]"
64,"[-14.66523045, 14.38180231]"
65,"[-14.55000496, 14.44824298]"
66,"[-14.8261156, 14.49278494]"
67,"[-14.49707859, 14.24060371]"
68,"[-14.4308891, 14.11220334]"
69,"[-14.65056698, 14.19067795]"
70,"[-14.61164706, 14.14947149]"
71,"[-14.54798817, 14.1849968]"
72,"[-14.44921787, 14.18750785]"
73,"[-14.57111338, 14.33824027]"
74,"[-14.53592438, 14.26331948]"
75,"[-14.63676821, 14.36284841]"
76,"[-14.5827977, 14.15137677]"
77,"[-14.71082524, 14.36216196]"
78,"[-14.71306373, 14.29327688]"
79,"[-14.51530223, 14.41853768]"
80,"[-14.61409529, 14.36941718]"
81,"[-14.63980023, 14.16719956]"
82,"[-14.61824263, 14.45431636]"
83,"[-14.77438421, 14.41952627]"
84,"[-14.77483062, 14.47671731]"
85,"[-14.64835419, 14.41215026]"
86,"[-14.72653026, 14.27375767]"
87,"[-14.71028047, 14.45439704]"
88,"[-14.59031941, 14.12665436]"
89,"[-14.65580702, 14.48558289]"
90,"[-14.58502627, 14.45440672]"
91,"[-14.61954247, 14.34636525]"
92,"[-14.51120298, 14.28234567]"
93,"[-14.64408877, 14.24935755]"
94,"[-14.51461337, 14.45214367]"
95,"[-14.68687046, 14.1991892]"
96,"[-14.5447344, 14.35148874]"
97,"[-14.7243956, 14.16305082]"
98,"[-14.69552056, 14.21633948]"
99,"[-14.81012153, 14.20876151]"
100,"[-14.72877607, 14.18556132]"
101,"[-14.55491502, 14.49031284]"
102,"[-14.83541972, 14.53206519]"
103,"[-14.86131704, 14.43544166]"
104,"[-14.46256073, 14.50131535]"
105,"[-14.57098328, 14.41761217]"
106,"[-14.74315788, 14.3348859]"
107,"[-14.71104272, 14.25563797]"
108,"[-14.8887811, 14.38127508]"
109,"[-14.52363991, 14.50802541]"
110,"[-14.83182241, 14.30191564]"
111,"[-14.68899332, 14.25484265]"
112,"[-14.73673021, 14.59720563]"
113,"[-14.6517031, 14.57486136]"
114,"[-14.67740088, 14.50646862]"
115,"[-14.77232695, 14.54481041]"
116,"[-15.19557993, 14.29886542]"
117,"[-15.02481158, 14.28373113]"
118,"[-14.97093569, 14.49675361]"
119,"[-14.60642072, 14.54605974]"
120,"[-14.83391815, 14.34736725]"
121,"[-14.86160248, 14.47772942]"
122,"[-14.9289456, 14.19485514]"
123,"[-14.85166154, 14.23880427]"
124,"[-14.92425259, 14.38723025]"
125,"[-14.77936754, 14.31553082]"
126,"[-14.6557058, 14.29444903]"
127,"[-14.72374373, 14.23124499]"
128,"[-14.70457204, 14.12671293]"
129,"[-14.94653668, 14.22343657]"
130,"[-14.87200204, 14.22920056]"
131,"[-14.6914953, 14.43576681]"
132,"[-14.78639533, 14.44821448]"
133,"[-14.82446878, 13.88591081]"
134,"[-14.75848051, 13.79192548]"
135,"[-14.84547161, 13.986883]"
136,"[-14.75608337, 14.0764476]"
137,"[-14.69260645, 13.9332474]"
138,"[-14.66384192, 14.1362845]"
139,"[-14.74035455, 14.55580608]"
140,"[-14.67246967, 14.46246368]"
141,"[-14.80336982, 14.51693476]"
142,"[-14.68712813, 14.59052297]"
143,"[-14.70521104, 14.33483179]"
144,"[-14.54894641, 14.54162002]"
145,"[-14.63256253, 14.20096034]"
146,"[-14.62005194, 14.2486959]"
147,"[-14.78558211, 14.59357654]"
148,"[-14.72230775, 14.52845805]"
149,"[-14.71080567, 14.38764542]"
150,"[-14.72442484, 14.4298688]"
151,"[-14.96721638, 14.33078694]"
152,"[-14.83743018, 14.44770157]"
153,"[-14.80962994, 14.38909827]"
154,"[-14.73202052, 14.46561976]"
155,"[-14.83000725, 14.37763947]"
156,"[-14.75555005, 14.35361321]"
157,"[-14.73957585, 14.50454374]"
158,"[-14.81229036, 14.47023235]"
159,"[-14.56214156, 14.29032484]"
160,"[-14.67254919, 14.32446154]"
161,"[-14.80368421, 14.29951244]"
162,"[-14.71099381, 14.20302889]"
163,"[-14.84724166, 14.26258924]"
164,"[-14.71584567, 14.31744506]"
165,"[-14.84197042, 14.40702381]"
166,"[-14.88712574, 14.35118696]"
167,"[-14.70503547, 14.1501951]"
168,"[-14.73618582, 14.25493703]"
169,"[-14.47869797, 14.44208984]"
170,"[-14.49770963, 14.5584744]"
171,"[-14.81158922, 14.35859756]"
172,"[-14.53398738, 14.29997743]"
173,"[-14.55419492, 14.11722303]"
174,"[-14.54893564, 14.09055285]"
175,"[-14.55517141, 13.97299752]"
176,"[-14.4910092, 14.20368039]"
177,"[-14.70087663, 14.04526072]"
178,"[-14.62723862, 14.31553898]"
179,"[-14.88884935, 14.50803795]"
180,"[-14.87392315, 14.25623203]"
181,"[-14.67368642, 14.40256573]"
182,"[-14.59758535, 14.08122932]"
183,"[-14.61371989, 14.21241409]"
184,"[-14.75064086, 14.1441325]"
185,"[-14.86315839, 14.20039674]"
186,"[-14.86756492, 14.06923688]"
187,"[-14.85979211, 14.33528493]"
188,"[-14.67708679, 14.27141638]"
189,"[-14.59373759, 14.36206557]"
190,"[-14.75908209, 14.04815237]"
191,"[-14.8900488, 14.12040866]"
192,"[-14.6767481, 14.03916848]"
193,"[-14.82565819, 14.10763646]"
194,"[-14.96485344, 14.14874319]"
195,"[-14.66499927, 14.24993315]"
196,"[-14.70321777, 14.17904532]"
197,"[-14.73605147, 14.31187314]"
198,"[-14.57643343, 14.2203697]"
199,"[-14.60345698, 14.42079004]"
200,"[-14.65492048, 14.52447379]"
201,"[-14.80006138, 14.11321237]"
202,"[-14.59804499, 13.9534379]"
203,"[-14.73513824, 14.29097072]"
204,"[-14.46610021, 14.16415353]"
205,"[-14.77086196, 14.18199501]"
206,"[-14.77241461, 14.2079558]"
207,"[-14.94777592, 14.3650823]"
208,"[-14.87601513, 14.40855905]"
209,"[-14.87960755, 14.63626357]"
210,"[-14.78135125, 14.05991206]"
211,"[-14.72688843, 14.14084194]"
212,"[-14.69678261, 14.0017273]"
213,"[-14.6463498, 14.317381]"
214,"[-14.85283771, 14.12470926]"
215,"[-14.71280964, 14.07245967]"
216,"[-14.6781425, 14.2303104]"
217,"[-14.55275572, 14.21419741]"
218,"[-14.66597023, 14.43132053]"
