# source, target, migration_1990_total, migration_1990_male, migration_1990_female, migration_1995_total, migration_1995_male, migration_1995_female, migration_2000_total, migration_2000_male, migration_2000_female, migration_2005_total, migration_2005_male, migration_2005_female, migration_2010_total, migration_2010_male, migration_2010_female, migration_2015_total, migration_2015_male, migration_2015_female
0,64,237,194,43,188,150,38,154,117,37,183,142,41,198,152,46,235,173,62
0,118,677,556,121,452,351,101,236,155,81,259,187,72,284,206,78,320,231,89
0,142,64,26,38,61,25,36,58,23,35,45,18,27,43,18,25,39,17,22
0,191,59,37,22,36,24,12,30,20,10,47,27,20,69,41,28,83,50,33
0,202,8485,3726,4759,12248,5518,6730,17118,7874,9244,12636,5687,6949,8900,3906,4994,7587,3279,4308
0,124,32,18,14,36,20,16,44,23,21,244,135,109,478,269,209,498,286,212
0,161,25,19,6,353,176,177,781,380,401,968,468,500,1201,569,632,1220,579,641
0,203,0,0,0,9,5,4,20,10,10,10,6,4,1,1,0,1,1,0
0,97,14159,7259,6900,12026,6159,5867,9892,5059,4833,9140,4664,4476,8387,4269,4118,8086,4111,3975
0,99,3123968,1788296,1335672,2029435,1186056,843379,2087864,1248844,839020,2171005,1176408,994597,2372090,1335371,1036719,2348369,1220304,1128065
0,155,3276673,1673100,1603573,1212572,620083,592489,2009687,1074476,935211,1093477,584712,508765,1908909,975251,933658,1618687,767206,851481
0,194,0,0,0,15,13,2,31,22,9,63,33,30,129,68,61,128,67,61
0,13,254,175,79,223,158,65,224,157,67,213,148,65,195,138,57,186,132,54
0,15,215,154,61,236,167,69,258,178,80,392,267,125,613,414,199,656,440,216
0,55,2,2,0,3,3,0,4,4,0,6,4,2,10,6,4,10,6,4
0,100,241,160,81,284,114,170,269,68,201,308,142,166,311,153,158,312,178,134
0,103,2724,1282,1442,2836,1322,1514,2790,1305,1485,2610,1235,1375,2462,1178,1284,2539,1208,1331
0,107,74,43,31,75,44,31,76,46,30,72,44,28,142,95,47,66,39,27
0,111,1334,808,526,1068,681,387,1219,823,396,1316,868,448,1743,1136,607,2669,1612,1057
0,165,384,281,103,417,312,105,388,296,92,620,462,158,1356,1087,269,1571,1280,291
0,180,166255,110590,55665,170388,113637,56751,175068,117007,58061,216261,148673,67588,280395,197352,83043,364304,248162,116142
0,201,0,0,0,92,47,45,172,87,85,626,320,306,1611,822,789,1791,914,877
0,211,7652,3875,3777,9633,5233,4400,9020,5149,3871,9325,5233,4092,11022,6122,4900,13601,7467,6134
0,217,1630,1161,469,2088,1496,592,2668,1911,757,3208,2219,989,6878,4818,2060,7590,5292,2298
0,18,140,106,34,216,152,64,292,199,93,281,192,89,270,185,85,282,192,90
0,31,222,145,77,223,153,70,223,161,62,260,198,62,286,227,59,322,251,71
0,56,51,37,14,77,57,20,103,77,26,221,142,79,320,198,122,427,276,151
0,95,274,122,152,403,224,179,532,326,206,657,406,251,782,487,295,1333,920,413
0,162,219,194,25,187,166,21,160,142,18,151,135,16,147,132,15,141,127,14
0,170,19103,9374,9729,15576,9811,5765,11486,9896,1590,8328,6935,1393,4999,3832,1167,5095,3899,1196
0,187,26,24,2,54,47,7,99,83,16,112,94,18,126,106,20,153,129,24
0,216,2552,1945,607,2468,1897,571,2416,1874,542,2207,1713,494,2105,1635,470,2112,1642,470
0,59,354,212,142,1648,903,745,2941,1594,1347,6641,3580,3061,10340,5566,4774,12260,6840,5420
0,68,0,0,0,0,0,0,0,0,0,0,0,0,13,10,3,12,9,3
0,73,4,4,0,144,72,72,284,141,143,1510,838,672,2735,1534,1201,4810,2535,2275
0,96,1,1,0,1,1,0,1,1,0,4,4,0,6,6,0,10,6,4
0,101,29,24,5,79,64,15,173,140,33,173,142,31,145,117,28,148,119,29
0,114,20,8,12,22,15,7,24,22,2,24,23,1,25,24,1,20,20,0
0,120,40,26,14,45,29,16,35,23,12,31,24,7,24,22,2,21,19,2
0,153,253,186,67,351,206,145,638,351,287,5071,3083,1988,8864,5417,3447,13238,8080,5158
0,199,3368,1889,1479,3997,2229,1768,4287,2378,1909,8345,4487,3858,14420,8400,6020,29085,17518,11567
0,218,2076,1533,543,8160,5437,2723,14382,9425,4957,36100,22370,13730,60757,37267,23490,68256,41511,26745
0,83,621,502,119,472,388,84,331,279,52,3401,2741,660,6470,5202,1268,6331,5039,1292
0,104,271,211,60,236,187,49,201,164,37,3384,3164,220,6567,6165,402,6568,6159,409
0,188,1,1,0,2,2,0,4,4,0,0,0,0,5,5,0,25,25,0
0,193,24,17,7,37,26,11,455,326,129,219,156,63,439,344,95,458,348,110
0,12,4748,3194,1554,5357,3632,1725,5966,4070,1896,6668,4498,2170,7370,4927,2443,8620,5779,2841
0,19,45,22,23,38,19,19,29,15,14,1196,734,462,2040,1282,758,10638,8196,2442
0,74,3346,1909,1437,3455,1946,1509,3563,1983,1580,3409,1946,1463,4401,2412,1989,4761,2603,2158
0,80,33279,21242,12037,51537,29287,22250,69794,37331,32463,83056,44927,38129,96318,52523,43795,99638,54334,45304
0,145,9865,5786,4079,14531,8388,6143,19683,11252,8431,32382,18155,14227,31153,16795,14358,33852,18148,15704
0,200,1756,1064,692,2243,1411,832,2740,1766,974,3300,2090,1210,3926,2342,1584,4613,2881,1732
0,50,25,11,14,11,5,6,3,1,2,2,1,1,4,1,3,4,1,3
0,148,27,16,11,22,13,9,37,21,16,54,29,25,57,31,26,61,34,27
0,8,20,1,19,20,2,18,20,3,17,15,3,12,9,2,7,9,2,7
0,24,2,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0
0,28,0,0,0,0,0,0,0,0,0,28,18,10,57,37,20,69,45,24
0,42,0,0,0,8,6,2,15,12,3,12,10,2,9,8,1,15,13,2
0,46,107,62,45,104,60,44,101,59,42,96,56,40,108,64,44,116,69,47
0,63,18,11,7,21,13,8,23,14,9,27,17,10,38,24,14,55,35,20
0,37,5321,2590,2731,13677,6608,7069,22359,10786,11573,30718,15252,15466,40922,20675,20247,45733,23092,22641
0,220,28444,15757,12687,36082,20120,15962,45195,25356,19839,50486,28431,22055,56397,28829,27568,63255,32244,31011
0,11,2729,1455,1274,7893,4518,3375,12590,7330,5260,18650,10630,8020,30880,16900,13980,37482,22118,15364
0,147,156,103,53,489,282,207,714,347,367,2051,996,1055,2314,1122,1192,2540,1229,1311
1,64,111,74,37,96,61,35,88,53,35,105,66,39,113,69,44,134,75,59
1,118,315,209,106,266,171,95,223,139,84,244,169,75,267,185,82,301,208,93
1,191,78,34,44,63,28,35,68,30,38,81,35,46,129,54,75,164,69,95
1,161,421,209,212,440,219,221,582,286,296,340,169,171,114,55,59,116,56,60
1,55,69,41,28,98,57,41,126,72,54,185,105,80,296,170,126,309,179,130
1,211,801,426,375,1939,993,946,3086,1563,1523,3180,1576,1604,3276,1586,1690,3325,1571,1754
1,31,103,54,49,316,165,151,528,276,252,824,440,384,1086,586,500,1134,604,530
1,56,44,28,16,66,42,24,88,56,32,184,123,61,264,182,82,314,216,98
1,95,96,34,62,113,49,64,129,63,66,159,79,80,189,95,94,226,126,100
