# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,144
1,65
1,77
1,98
1,110
1,55
1,140
1,63
1,47
1,13
1,119
1,14
1,118
1,25
1,48
1,190
1,174
1,57
1,154
1,26
1,191
1,186
1,102
1,61
1,148
1,207
1,58
1,149
1,59
1,219
1,103
1,192
1,67
1,15
1,27
1,151
1,104
1,33
1,222
1,60
1,210
1,101
1,2
1,79
1,211
1,80
1,3
1,4
1,82
1,84
1,128
1,7
1,8
1,162
1,12
1,16
1,17
1,18
1,19
1,177
1,178
1,20
1,21
1,179
1,23
1,24
1,223
1,28
1,29
1,66
1,30
1,31
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,68
1,70
1,72
1,45
1,46
1,73
1,49
1,50
1,74
1,51
1,52
1,132
1,53
1,134
1,89
1,136
1,56
1,91
1,76
1,62
1,64
1,34
1,133
1,99
1,201
1,228
1,229
1,187
1,206
1,9
1,156
1,10
1,141
1,202
1,142
1,193
1,213
1,203
1,6
1,83
1,226
1,152
1,205
1,182
1,85
1,194
1,11
1,153
1,175
1,204
1,86
1,147
1,195
1,158
1,224
1,22
1,5
1,143
1,181
1,32
1,100
1,144
1,196
2,65
2,77
2,140
2,63
2,47
2,14
2,118
2,25
2,48
2,174
2,57
2,61
2,207
2,149
2,219
2,103
2,192
2,104
2,33
2,222
2,133
2,99
2,201
2,35
2,49
2,50
2,82
2,43
2,206
2,28
2,9
2,156
2,10
2,16
2,44
2,128
2,18
2,141
2,202
2,19
2,177
2,210
2,79
2,211
2,80
2,3
2,4
2,84
2,85
2,7
2,12
2,15
2,17
2,23
2,26
2,27
2,29
2,30
2,31
2,36
2,37
2,38
2,40
2,41
2,42
2,67
2,68
2,70
2,72
2,45
2,46
2,51
2,52
2,53
2,136
2,55
2,56
2,58
2,76
2,62
2,34
2,6
2,83
2,226
2,194
2,178
2,11
2,20
2,153
2,66
2,21
2,86
2,195
2,158
2,224
2,179
2,22
2,5
2,8
2,143
2,32
2,24
2,100
2,144
2,223
3,77
3,98
3,110
3,55
3,140
3,63
3,47
3,119
3,14
3,118
3,48
3,190
3,106
3,57
3,26
3,191
3,186
3,102
3,61
3,58
3,149
3,103
3,192
3,75
3,27
3,151
3,104
3,33
3,201
3,35
3,49
3,228
3,50
3,82
3,187
3,9
3,156
3,10
3,37
3,17
3,44
3,128
3,202
3,177
3,197
3,74
3,203
3,180
3,205
3,100
3,101
3,4
3,15
3,28
3,30
3,36
3,40
3,41
3,42
3,43
3,46
3,51
3,52
3,34
3,64
3,194
3,11
3,7
3,29
3,70
3,153
3,66
3,204
3,86
3,147
3,195
3,224
3,211
3,107
3,8
3,23
3,181
3,32
3,62
3,196
4,65
4,77
4,98
4,55
4,63
4,47
4,14
4,118
4,120
4,25
4,48
4,190
4,164
4,56
4,174
4,106
4,57
4,121
4,154
4,26
4,186
4,102
4,61
4,148
4,58
4,149
4,150
4,59
4,219
4,103
4,192
4,67
4,75
4,15
4,27
4,151
4,104
4,33
4,99
4,34
4,201
4,165
4,35
4,49
4,78
4,50
4,82
4,229
4,43
4,134
4,187
4,206
4,127
4,36
4,9
4,156
4,10
4,16
4,37
4,17
4,44
4,123
4,128
4,18
4,202
4,19
4,142
4,157
4,38
4,177
4,197
4,193
4,39
4,74
4,213
4,203
4,6
4,162
4,83
4,68
4,180
4,89
4,226
4,79
4,205
4,182
4,170
4,183
4,51
4,64
4,54
4,85
4,194
4,172
4,184
4,40
4,178
4,11
4,136
4,166
4,138
4,91
4,7
4,29
4,70
4,153
4,221
4,66
4,30
4,204
4,231
4,125
4,21
4,86
4,72
4,147
4,195
4,158
4,31
4,224
4,100
4,101
4,196
4,107
4,12
4,23
4,28
4,198
4,163
4,41
4,42
4,45
4,46
4,129
4,52
4,110
4,119
4,130
4,113
4,114
4,53
4,60
4,76
4,62
4,179
4,211
4,22
4,8
4,73
4,185
4,80
4,181
4,32
4,24
4,139
4,160
4,223
5,77
5,140
5,47
5,13
5,25
5,154
5,61
5,149
5,151
5,33
5,145
5,50
5,9
5,10
5,16
5,141
5,142
5,51
5,64
5,85
5,178
5,11
5,29
5,175
5,30
5,52
5,144
5,15
5,17
5,23
5,26
5,27
5,28
5,32
5,34
5,35
5,36
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,46
5,48
5,49
5,56
5,58
5,62
5,63
5,57
5,143
5,116
5,101
6,63
6,118
6,154
6,155
6,149
6,9
6,156
6,16
6,128
6,180
6,77
6,150
6,151
6,153
6,7
6,158
6,8
6,159
6,160
6,162
6,12
6,15
6,18
6,23
6,26
6,27
6,28
6,29
6,30
6,33
6,35
6,36
6,37
6,38
6,40
6,41
6,42
6,43
6,44
6,68
6,70
6,46
6,47
6,48
6,49
6,50
6,74
6,51
6,52
6,130
6,113
6,53
6,89
6,136
6,55
6,56
6,58
6,60
6,91
6,76
6,164
6,61
6,62
6,64
6,166
6,167
6,34
6,57
6,182
6,183
6,11
6,224
7,65
7,77
7,98
7,55
7,140
7,146
7,63
7,47
7,14
7,118
7,48
7,56
7,57
7,154
7,108
7,155
7,61
7,58
7,149
7,150
7,59
7,103
7,53
7,151
7,104
7,33
7,60
7,35
7,49
7,50
7,82
7,43
7,215
7,134
7,28
7,36
7,9
7,156
7,10
7,16
7,37
7,17
7,44
7,128
7,18
7,202
7,19
7,157
7,177
7,89
7,182
7,183
7,51
7,64
7,194
7,40
7,178
7,11
7,217
7,166
7,91
7,147
7,214
7,152
7,153
7,158
7,8
7,159
7,160
7,161
7,162
7,15
7,20
7,21
7,23
7,24
7,26
7,27
7,29
7,30
7,31
7,198
7,38
7,41
7,42
7,97
7,67
7,68
7,70
7,72
7,45
7,46
7,129
7,74
7,52
7,119
7,130
7,113
7,132
7,185
7,133
7,136
7,76
7,164
7,200
7,62
7,167
7,216
7,95
7,170
7,184
7,94
7,34
7,66
7,12
7,211
7,199
7,22
7,80
8,63
8,118
8,155
8,61
8,149
8,192
8,151
8,104
8,33
8,201
8,49
8,50
8,9
8,156
8,10
8,16
8,44
8,128
8,157
8,193
8,182
8,183
8,51
8,64
8,40
8,11
8,70
8,153
8,204
8,21
8,158
8,224
8,12
8,179
8,211
8,41
8,52
8,147
8,150
8,214
8,154
8,159
8,160
8,161
8,162
8,14
8,15
8,18
8,19
8,20
8,23
8,24
8,26
8,27
8,28
8,29
8,30
8,31
8,198
8,35
8,36
8,37
8,38
8,42
8,43
8,68
8,45
8,46
8,47
8,48
8,129
8,74
