# index, _pos
0,"[1.83174148, 1.86242262]"
1,"[1.85439876, 1.92223817]"
2,"[1.86082718, 1.90332594]"
3,"[1.90470076, 1.97116912]"
4,"[1.86743615, 1.99315651]"
5,"[1.74407089, 1.90236581]"
6,"[1.83272346, 2.07159775]"
7,"[1.85068909, 2.02478202]"
8,"[1.87985295, 2.0209636]"
9,"[1.8306832, 2.02026528]"
10,"[1.78486421, 1.89879802]"
11,"[1.84295684, 2.03866266]"
12,"[1.8923741, 2.00828361]"
13,"[1.77487777, 1.82943961]"
14,"[1.92645288, 1.95643674]"
15,"[1.8602191, 1.93974762]"
16,"[1.89757756, 1.93435699]"
17,"[1.76655309, 1.92871435]"
18,"[1.87836486, 1.93368856]"
19,"[1.87634793, 1.88479147]"
20,"[1.90491288, 1.89450249]"
21,"[1.90544029, 1.95266798]"
22,"[1.88496771, 1.98704986]"
23,"[1.78695374, 1.94707489]"
24,"[1.91604615, 1.90777674]"
25,"[1.78801017, 1.88038013]"
26,"[1.8386259, 1.94852143]"
27,"[1.86785484, 1.97305001]"
28,"[1.83259406, 1.92171156]"
29,"[1.79637776, 1.93383395]"
30,"[1.84715437, 1.93598275]"
31,"[1.88209148, 1.94730422]"
32,"[1.76667955, 1.89231088]"
33,"[1.83069359, 1.97201271]"
34,"[1.80039032, 1.94975273]"
35,"[1.85276316, 1.96646825]"
36,"[1.84352991, 1.97358249]"
37,"[1.84423076, 1.98925671]"
38,"[1.81697774, 1.91983731]"
39,"[1.76231228, 1.91316052]"
40,"[1.82229402, 1.94312735]"
41,"[1.85317359, 1.94973292]"
42,"[1.82541709, 1.99995775]"
43,"[1.83110205, 1.98691881]"
44,"[1.85659895, 1.98213119]"
45,"[1.84023639, 1.90512052]"
46,"[1.82532911, 1.95781598]"
47,"[1.83979734, 1.9617719]"
48,"[1.86513634, 1.95633179]"
49,"[1.83726869, 1.99911738]"
50,"[1.81170512, 1.93635419]"
51,"[1.81625778, 1.96901126]"
52,"[1.83072719, 1.93786074]"
53,"[1.79249528, 1.99744348]"
54,"[1.74615005, 1.93780236]"
55,"[1.78741413, 1.9813161]"
56,"[1.80487629, 1.9795185]"
57,"[1.79691048, 1.96465094]"
58,"[1.81695556, 1.9859948]"
59,"[1.77265212, 1.995916]"
60,"[1.76249727, 1.9482164]"
61,"[1.80817934, 1.99441469]"
62,"[1.81230261, 2.00776568]"
63,"[1.84918437, 2.00546947]"
64,"[1.87564489, 2.03619492]"
65,"[1.89105956, 2.05459683]"
66,"[1.79857146, 1.91131477]"
67,"[1.88729378, 1.96674039]"
68,"[1.8731923, 1.91643948]"
69,"[1.90366764, 2.03160676]"
70,"[1.81273663, 1.95665913]"
71,"[1.76441423, 2.11452087]"
72,"[1.81999441, 1.90272337]"
73,"[1.84960787, 2.05463276]"
74,"[1.86717091, 2.01255435]"
75,"[1.76310321, 2.01329857]"
76,"[1.77085992, 1.97756735]"
77,"[1.90130528, 1.98917661]"
78,"[1.93673671, 1.90745467]"
79,"[1.85148225, 1.8849687]"
80,"[1.91474195, 1.92539379]"
81,"[2.01706011, 1.86488782]"
82,"[1.89124081, 1.91463084]"
83,"[1.91312593, 1.85400889]"
84,"[1.87374187, 1.84157767]"
85,"[1.84852129, 1.82356369]"
86,"[1.87134643, 1.86102229]"
87,"[1.71728018, 2.08560055]"
88,"[1.71857503, 2.11821799]"
89,"[1.77517982, 1.96106444]"
90,"[1.69222913, 2.09639663]"
91,"[1.7837018, 2.01526684]"
92,"[1.87008957, 2.15718837]"
93,"[1.89018401, 2.126719]"
94,"[1.97167436, 2.13972604]"
95,"[1.9026869, 2.15828135]"
96,"[1.96396296, 2.07471436]"
97,"[1.70167317, 1.89743272]"
98,"[1.9465887, 1.9502161]"
99,"[1.9686361, 1.93768343]"
100,"[1.93572981, 2.00962779]"
101,"[1.94272176, 1.93080904]"
102,"[1.90366504, 1.87706999]"
103,"[1.92557436, 1.8872231]"
104,"[1.95870703, 1.91501136]"
105,"[1.97694391, 1.864971]"
106,"[1.95382079, 2.01142603]"
107,"[1.975386, 2.02804701]"
108,"[1.88230355, 1.89706555]"
109,"[1.6351819, 1.94586471]"
110,"[1.7185836, 2.01145937]"
111,"[1.68468075, 2.06862525]"
112,"[1.70511143, 2.0320297]"
113,"[1.75718074, 1.98982508]"
114,"[1.72398839, 2.03298087]"
115,"[1.64616737, 2.06709499]"
116,"[1.62002091, 2.01975904]"
117,"[1.67602435, 2.04462783]"
118,"[1.86621049, 2.05299172]"
119,"[1.73975651, 1.97967049]"
120,"[1.71345384, 2.05299602]"
121,"[1.65097584, 2.0362951]"
122,"[1.66818779, 1.95204486]"
123,"[1.69946669, 1.99335886]"
124,"[1.61576148, 1.98555035]"
125,"[1.65163867, 1.98015328]"
126,"[1.66598148, 2.01853746]"
127,"[1.68801649, 1.97163573]"
128,"[1.81098918, 2.04208103]"
129,"[1.80199893, 1.8884909]"
130,"[1.75736157, 2.04999066]"
131,"[1.70726157, 1.96016196]"
132,"[1.73602032, 2.05760915]"
133,"[1.73101409, 1.9602583]"
134,"[1.74570178, 2.00937254]"
135,"[1.7218501, 1.94312049]"
136,"[1.75176782, 1.96583777]"
137,"[1.75665057, 2.18198301]"
138,"[1.72886587, 1.91793532]"
139,"[1.71043192, 1.92204375]"
140,"[1.77097526, 1.86287605]"
141,"[1.75499183, 1.87702964]"
142,"[1.73332032, 1.87168287]"
143,"[1.72990826, 1.84757894]"
144,"[1.75435082, 1.84513691]"
145,"[1.72260057, 1.89020488]"
146,"[1.67274657, 1.99450001]"
147,"[1.90813019, 2.07586156]"
148,"[1.85007821, 1.84545705]"
149,"[1.81634823, 2.02608907]"
150,"[1.80288136, 2.0861877]"
151,"[1.76989731, 2.03339778]"
152,"[1.78283618, 2.04856973]"
153,"[1.79586313, 2.02918164]"
154,"[1.87540877, 2.10162475]"
155,"[1.86276584, 2.07425401]"
156,"[1.82751849, 2.0505267]"
157,"[1.77789815, 2.09330411]"
158,"[1.79033713, 2.06852844]"
159,"[1.81660582, 2.13988155]"
160,"[1.80866105, 2.06338986]"
161,"[1.82273671, 2.10040382]"
162,"[1.74560082, 2.03309401]"
163,"[1.90123094, 2.18534821]"
164,"[1.76429943, 2.06958287]"
165,"[1.95048546, 2.05186449]"
166,"[1.92910798, 2.07257518]"
167,"[1.9280307, 2.10515255]"
168,"[1.91927484, 2.12610019]"
169,"[1.98781975, 2.08884566]"
170,"[2.0220881, 2.00239305]"
171,"[2.02192033, 2.04023565]"
172,"[2.03848545, 2.09860209]"
173,"[2.02820909, 2.15054121]"
174,"[1.91284333, 2.01372877]"
175,"[1.78967327, 1.84988517]"
176,"[1.6418977, 1.90318472]"
177,"[1.78187815, 1.92153111]"
178,"[1.9344602, 2.03069096]"
179,"[1.8102233, 1.85706657]"
180,"[1.85049466, 2.09079935]"
181,"[1.92423822, 1.99308056]"
182,"[1.7298918, 1.99903597]"
183,"[1.91706089, 2.0511114]"
184,"[1.86476338, 2.19423046]"
185,"[1.71321215, 1.97875818]"
186,"[1.99418069, 1.94910222]"
187,"[1.85236838, 1.86381327]"
188,"[1.89609277, 1.84192514]"
189,"[1.6929719, 2.01189604]"
190,"[1.93530374, 1.84289563]"
191,"[1.8428376, 1.80209088]"
192,"[1.93302742, 1.86678355]"
193,"[1.8905502, 1.86264086]"
194,"[1.83303626, 1.88668369]"
195,"[1.82475954, 1.84199466]"
196,"[1.81745367, 1.87408624]"
197,"[1.99093658, 2.00201272]"
198,"[1.88507166, 2.08124501]"
199,"[1.6861869, 1.93619689]"
200,"[1.74804874, 2.09326915]"
201,"[1.92490949, 1.93707557]"
202,"[1.94474334, 1.98251715]"
203,"[1.9775754, 1.90287747]"
204,"[1.9849483, 1.97177015]"
205,"[1.96186846, 1.9867689]"
206,"[1.91610526, 1.82312105]"
207,"[1.89290505, 1.81754963]"
208,"[2.00276915, 1.91525274]"
209,"[1.65862803, 2.11953084]"
210,"[1.97553798, 1.82493973]"
211,"[1.94596035, 1.89168026]"
212,"[1.83638439, 2.22189626]"
213,"[1.84124289, 2.10953587]"
214,"[1.77593072, 2.15239029]"
215,"[1.80210286, 2.17820619]"
216,"[1.941944, 2.1622961]"
217,"[1.83456993, 2.16691033]"
218,"[1.95524617, 2.10343224]"
219,"[1.85953241, 2.13381899]"
220,"[1.74096291, 2.25243228]"
221,"[1.70900302, 2.16470138]"
222,"[1.81580121, 1.80983071]"
223,"[1.92891113, 1.97069976]"
224,"[1.96174791, 1.96206361]"
225,"[2.00627563, 2.06032156]"
226,"[1.79884571, 2.11263097]"
227,"[1.79672158, 2.22175723]"
228,"[1.86830996, 1.80561622]"
229,"[1.78286954, 1.79556913]"
230,"[1.68731748, 1.77278962]"
231,"[1.7398048, 2.15519043]"
