# index, _pos
0,"[-7.40536013, 2.36294663]"
1,"[-7.44612057, 2.39157152]"
2,"[-7.3831753, 2.37534173]"
3,"[-7.41577001, 2.44331821]"
4,"[-7.35737624, 2.33315794]"
5,"[-7.37931506, 2.36491993]"
6,"[-7.32782195, 2.38429165]"
7,"[-7.42982697, 2.43573408]"
8,"[-7.40767892, 2.3715966]"
9,"[-7.46668792, 2.32037822]"
10,"[-7.39271927, 2.41876711]"
11,"[-7.26262141, 2.33722153]"
12,"[-7.39179456, 2.38212693]"
13,"[-7.48594366, 2.34586991]"
14,"[-7.35861222, 2.38763648]"
15,"[-7.42163413, 2.2874519]"
16,"[-7.53818599, 2.35332038]"
17,"[-7.40184432, 2.41649432]"
18,"[-7.37692669, 2.39737757]"
19,"[-7.38781606, 2.43083891]"
20,"[-7.39522337, 2.39870812]"
21,"[-7.40472484, 2.39402073]"
22,"[-7.38861171, 2.39042468]"
23,"[-7.47822227, 2.33515756]"
24,"[-7.41533922, 2.37604048]"
25,"[-7.47810447, 2.40645637]"
26,"[-7.38557459, 2.40249131]"
27,"[-7.42816987, 2.39527876]"
28,"[-7.25705477, 2.35547989]"
29,"[-7.46436054, 2.27076079]"
30,"[-7.34634564, 2.37808429]"
31,"[-7.36019615, 2.32038819]"
32,"[-7.46960877, 2.34064447]"
33,"[-7.46244932, 2.35108271]"
34,"[-7.58743583, 2.41653089]"
35,"[-7.56465594, 2.43766372]"
36,"[-7.58198704, 2.43193835]"
37,"[-7.32087847, 2.42544305]"
38,"[-7.35349141, 2.37014132]"
39,"[-7.36496622, 2.35163074]"
40,"[-7.34783284, 2.4241227]"
41,"[-7.32215697, 2.34250838]"
42,"[-7.41210614, 2.41659252]"
43,"[-7.2994795, 2.30647286]"
44,"[-7.34796849, 2.43339738]"
45,"[-7.36284946, 2.43047947]"
46,"[-7.37888412, 2.33001277]"
47,"[-7.39472066, 2.35675173]"
48,"[-7.40532251, 2.31064063]"
49,"[-7.3503411, 2.390745]"
50,"[-7.37119409, 2.43168749]"
51,"[-7.35701884, 2.41720158]"
52,"[-7.4534165, 2.43504033]"
53,"[-7.31158128, 2.39639217]"
54,"[-7.41631618, 2.31478023]"
55,"[-7.39643849, 2.31644179]"
56,"[-7.43190297, 2.48438742]"
57,"[-7.44322991, 2.40568412]"
58,"[-7.38631492, 2.51093652]"
59,"[-7.4939408, 2.45606165]"
60,"[-7.44475908, 2.44502091]"
61,"[-7.3588695, 2.40002117]"
62,"[-7.35527492, 2.48033236]"
63,"[-7.40506319, 2.48822532]"
64,"[-7.42175474, 2.48920166]"
65,"[-7.38415572, 2.47944188]"
66,"[-7.48014406, 2.42953942]"
67,"[-7.40677575, 2.47721462]"
68,"[-7.32527851, 2.45306298]"
69,"[-7.45721304, 2.4065409]"
70,"[-7.39404928, 2.48507089]"
71,"[-7.36095586, 2.45515464]"
72,"[-7.32746638, 2.44100972]"
73,"[-7.35350566, 2.3807533]"
74,"[-7.23779824, 2.29978155]"
75,"[-7.33520632, 2.39294499]"
76,"[-7.36355667, 2.28032444]"
77,"[-7.44973952, 2.31083522]"
78,"[-7.44081994, 2.34339219]"
79,"[-7.42814914, 2.33586863]"
80,"[-7.34859578, 2.44159211]"
81,"[-7.40541666, 2.40523422]"
82,"[-7.28517991, 2.3132484]"
83,"[-7.28357866, 2.33952483]"
84,"[-7.38805273, 2.23990311]"
85,"[-7.29591847, 2.42365469]"
86,"[-7.29260821, 2.40710278]"
87,"[-7.39436193, 2.23083231]"
88,"[-7.23083764, 2.43142242]"
89,"[-7.32165342, 2.48538792]"
90,"[-7.31156548, 2.48877645]"
91,"[-7.34527527, 2.24161867]"
92,"[-7.23956395, 2.35214066]"
93,"[-7.30310142, 2.44829774]"
94,"[-7.29351599, 2.45463778]"
95,"[-7.2177833, 2.47528878]"
96,"[-7.45390418, 2.41885546]"
97,"[-7.1504404, 2.39828761]"
98,"[-7.23661965, 2.40781487]"
99,"[-7.19379688, 2.45711371]"
100,"[-7.42321555, 2.38278036]"
101,"[-7.37609274, 2.55470834]"
102,"[-7.33539807, 2.45320791]"
103,"[-7.38076408, 2.31612032]"
104,"[-7.38411413, 2.29702598]"
105,"[-7.34565016, 2.50172668]"
106,"[-7.4478334, 2.32809467]"
107,"[-7.50356685, 2.33884014]"
108,"[-7.55327331, 2.26489915]"
109,"[-7.48202878, 2.3784196]"
110,"[-7.58119777, 2.23769087]"
111,"[-7.48358792, 2.35739966]"
112,"[-7.45799769, 2.36072155]"
113,"[-7.51114724, 2.36694734]"
114,"[-7.49597865, 2.36220737]"
115,"[-7.41293001, 2.28858755]"
116,"[-7.43310824, 2.3744036]"
117,"[-7.40553425, 2.2607272]"
118,"[-7.46768898, 2.37086856]"
119,"[-7.47376642, 2.35226072]"
120,"[-7.51962781, 2.32923883]"
121,"[-7.43625675, 2.36141365]"
122,"[-7.52232408, 2.26933492]"
123,"[-7.41595588, 2.35449958]"
124,"[-7.44517745, 2.36431666]"
125,"[-7.50781723, 2.2701142]"
126,"[-7.41701863, 2.23653951]"
127,"[-7.40169168, 2.32565127]"
128,"[-7.45256642, 2.22969338]"
129,"[-7.44396732, 2.26735342]"
130,"[-7.38212988, 2.46093995]"
131,"[-7.36903957, 2.35914488]"
132,"[-7.41582214, 2.401927]"
133,"[-7.37400394, 2.45103947]"
134,"[-7.31646179, 2.38304453]"
135,"[-7.40539527, 2.46042646]"
136,"[-7.35298712, 2.40957758]"
137,"[-7.42177714, 2.41253746]"
138,"[-7.1778604, 2.31559092]"
139,"[-7.27733301, 2.3573099]"
140,"[-7.21963041, 2.33449994]"
141,"[-7.2731689, 2.33807113]"
142,"[-7.27501588, 2.30102973]"
143,"[-7.18623857, 2.28036422]"
144,"[-7.28591102, 2.35586541]"
145,"[-7.269096, 2.36128831]"
146,"[-7.25085912, 2.34178554]"
147,"[-7.27642013, 2.32883956]"
148,"[-7.24593894, 2.32392241]"
149,"[-7.28777888, 2.37095379]"
150,"[-7.23499363, 2.3843693]"
151,"[-7.23352303, 2.31469554]"
152,"[-7.25421049, 2.27507716]"
153,"[-7.45818279, 2.28557191]"
154,"[-7.35242696, 2.45575004]"
155,"[-7.41335711, 2.45347977]"
156,"[-7.32753758, 2.3495541]"
157,"[-7.27533085, 2.47846886]"
158,"[-7.33898865, 2.25339185]"
159,"[-7.56276528, 2.48843143]"
160,"[-7.41226936, 2.33692629]"
161,"[-7.48670889, 2.28462534]"
162,"[-7.49087549, 2.37244452]"
163,"[-7.49225589, 2.31968777]"
164,"[-7.49092412, 2.33649456]"
165,"[-7.51596605, 2.34180178]"
166,"[-7.46989249, 2.3821244]"
167,"[-7.45630014, 2.37138895]"
168,"[-7.5256191, 2.37037029]"
169,"[-7.53802664, 2.39573117]"
170,"[-7.51338506, 2.31397615]"
171,"[-7.55435347, 2.34919443]"
172,"[-7.57781242, 2.28564323]"
173,"[-7.54334805, 2.30581554]"
174,"[-7.61418185, 2.29093818]"
175,"[-7.4567642, 2.32365412]"
176,"[-7.55386745, 2.31433257]"
177,"[-7.52955135, 2.31687522]"
178,"[-7.5389073, 2.36801489]"
179,"[-7.52906903, 2.41622612]"
180,"[-7.42426767, 2.34733522]"
181,"[-7.46001541, 2.38708642]"
182,"[-7.30401702, 2.37716186]"
183,"[-7.33349399, 2.37760645]"
184,"[-7.31571063, 2.33748851]"
185,"[-7.30008143, 2.43297221]"
186,"[-7.26220304, 2.38278568]"
187,"[-7.30254601, 2.50873995]"
188,"[-7.24761155, 2.37626992]"
189,"[-7.32181519, 2.36046958]"
190,"[-7.27780132, 2.40426209]"
191,"[-7.44889538, 2.29345352]"
192,"[-7.41812836, 2.22284567]"
193,"[-7.42624447, 2.31727145]"
194,"[-7.52590821, 2.30298248]"
195,"[-7.41675614, 2.29737994]"
196,"[-7.45719287, 2.24531415]"
197,"[-7.41489016, 2.24482064]"
198,"[-7.38153588, 2.23350379]"
199,"[-7.38228791, 2.26023577]"
200,"[-7.40592576, 2.30025133]"
201,"[-7.38352242, 2.33913146]"
202,"[-7.35533163, 2.28803087]"
203,"[-7.39471611, 2.28075279]"
204,"[-7.40253616, 2.23869096]"
205,"[-7.39534438, 2.30028646]"
206,"[-7.40498841, 2.24985072]"
207,"[-7.39317489, 2.21795413]"
208,"[-7.36127773, 2.2244065]"
209,"[-7.4078483, 2.32304685]"
210,"[-7.39633527, 2.24647486]"
211,"[-7.36006774, 2.24801245]"
212,"[-7.37251645, 2.30244071]"
213,"[-7.38772547, 2.32204375]"
214,"[-7.40539459, 2.21977108]"
215,"[-7.41277011, 2.21276118]"
216,"[-7.37535887, 2.28774954]"
217,"[-7.39606707, 2.2559745]"
218,"[-7.3832931, 2.22460468]"
219,"[-7.47942323, 2.23192465]"
220,"[-7.38594828, 2.20812357]"
221,"[-7.40053561, 2.18277659]"
222,"[-7.51426143, 2.41149373]"
223,"[-7.54356439, 2.32662452]"
224,"[-7.60532318, 2.32788928]"
225,"[-7.36433073, 2.55064826]"
226,"[-7.3881765, 2.35006538]"
227,"[-7.38040494, 2.42426144]"
228,"[-7.26186304, 2.39535847]"
229,"[-7.33985173, 2.38495241]"
230,"[-7.37279055, 2.42139675]"
231,"[-7.47342064, 2.41877601]"
232,"[-7.36970286, 2.40613311]"
233,"[-7.39327061, 2.44767665]"
234,"[-7.34338349, 2.44986648]"
235,"[-7.34926923, 2.26346757]"
236,"[-7.33947476, 2.42107241]"
237,"[-7.43667094, 2.46685727]"
238,"[-7.3283842, 2.36959391]"
239,"[-7.38841581, 2.36671915]"
240,"[-7.35797373, 2.42502206]"
241,"[-7.32719711, 2.54387443]"
242,"[-7.31601034, 2.37273297]"
243,"[-7.4626388, 2.39873598]"
244,"[-7.33904657, 2.36519131]"
245,"[-7.34308003, 2.41069519]"
246,"[-7.46420271, 2.42939376]"
247,"[-7.3468952, 2.32233208]"
248,"[-7.40540551, 2.35009083]"
249,"[-7.39659601, 2.37437195]"
250,"[-7.35461253, 2.3441731]"
251,"[-7.37330875, 2.33836899]"
252,"[-7.52596587, 2.44732141]"
253,"[-7.35565453, 2.43477645]"
254,"[-7.4796068, 2.3676125]"
255,"[-7.32174977, 2.53517944]"
256,"[-7.33858419, 2.50825936]"
257,"[-7.39902237, 2.34125566]"
258,"[-7.39292211, 2.3306245]"
259,"[-7.33498993, 2.52102118]"
260,"[-7.53319518, 2.43430259]"
261,"[-7.42164986, 2.4741717]"
262,"[-7.43405752, 2.30645281]"
263,"[-7.50326244, 2.49688881]"
264,"[-7.4418544, 2.31824429]"
265,"[-7.2675729, 2.4457177]"
266,"[-7.25580471, 2.32619139]"
267,"[-7.33313298, 2.46290325]"
268,"[-7.37634675, 2.43853202]"
269,"[-7.3546525, 2.49843126]"
270,"[-7.34591224, 2.34764451]"
271,"[-7.47600362, 2.29667107]"
