# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
2,175
2,415
2,453
2,550
2,796
3,415
3,630
3,631
3,818
4,175
4,453
4,550
5,415
5,426
5,630
5,631
5,678
5,769
5,818
6,415
6,801
7,175
7,796
7,801
7,836
8,415
8,631
8,818
9,415
10,11
11,258
11,758
12,13
12,14
12,15
13,217
13,233
13,285
13,305
13,435
13,681
13,796
13,816
13,819
14,305
14,497
15,305
15,469
15,497
15,551
15,719
15,796
16,17
16,18
16,19
16,20
16,21
17,22
17,32
17,33
17,34
17,41
17,44
17,45
17,49
17,59
17,62
17,70
17,74
17,77
17,81
17,82
17,91
17,94
17,97
17,104
17,105
17,106
17,108
17,121
17,144
17,168
17,173
17,175
17,192
17,193
17,206
17,214
17,217
17,218
17,221
17,225
17,229
17,230
17,233
17,239
17,247
17,252
17,253
17,258
17,263
17,278
17,285
17,295
17,304
17,305
17,309
17,311
17,315
17,321
17,324
17,325
17,326
17,331
17,426
17,428
17,430
17,432
17,435
17,447
17,451
17,452
17,453
17,454
17,467
17,479
17,480
17,485
17,491
17,496
17,498
17,504
17,521
17,523
17,528
17,533
17,540
17,552
17,553
17,572
17,577
17,579
17,598
17,604
17,611
17,622
17,624
17,626
17,631
17,644
17,647
17,648
17,653
17,670
17,671
17,675
17,677
17,681
17,710
17,711
17,720
17,722
17,725
17,726
17,728
17,729
17,730
17,733
17,738
17,739
17,743
17,746
17,747
17,748
17,750
17,751
17,752
17,757
17,758
17,763
17,770
17,781
17,790
17,792
17,793
17,796
17,802
17,803
17,805
17,806
17,807
17,819
17,823
17,838
17,849
17,850
17,853
18,60
18,121
18,172
18,196
18,217
18,226
18,233
18,239
18,415
18,426
18,432
18,452
18,454
18,471
18,479
18,488
18,509
18,526
18,553
18,607
18,611
18,630
18,646
18,678
18,715
18,732
18,738
18,752
18,766
18,769
18,794
18,796
18,818
18,848
18,849
20,24
20,74
20,78
20,111
20,114
20,121
20,144
20,169
20,172
20,196
20,198
20,199
20,208
20,226
20,236
20,263
20,271
20,273
20,275
20,276
20,285
20,310
20,316
20,322
20,435
20,479
20,494
20,498
20,509
20,525
20,526
20,528
20,530
20,549
20,553
20,603
20,607
20,679
20,710
20,716
20,720
20,745
20,749
20,750
20,763
20,766
20,789
20,794
20,819
20,823
20,838
20,845
22,23
23,711
24,25
24,26
25,34
25,77
25,87
25,164
25,171
25,173
25,194
25,207
25,215
25,216
25,230
25,231
25,235
25,236
25,285
25,313
25,324
25,533
25,553
25,606
25,647
25,651
25,652
25,653
25,677
25,726
25,739
25,792
25,823
25,835
25,842
26,263
26,739
27,28
27,29
27,30
27,31
28,169
28,198
28,199
29,33
29,97
29,165
29,263
29,320
29,496
29,559
29,675
29,714
34,35
34,36
35,819
36,87
36,651
37,38
37,39
37,40
38,55
38,280
38,285
38,479
38,766
38,796
38,801
39,217
39,280
39,415
39,479
39,682
39,766
39,796
40,55
40,415
40,682
40,796
41,42
41,43
42,167
42,216
43,74
43,167
43,216
43,263
43,285
43,598
43,726
43,754
45,46
45,47
45,48
46,97
46,144
46,214
46,263
46,285
46,435
46,712
46,729
46,763
46,819
46,823
46,840
47,106
47,175
47,271
47,273
47,325
47,389
47,496
47,504
47,550
47,647
47,653
47,725
47,754
47,767
47,781
47,819
47,823
47,843
49,50
49,51
49,52
49,53
49,54
50,326
50,432
50,681
50,719
50,728
50,729
50,816
52,91
52,214
52,285
52,326
52,435
52,719
53,326
53,435
53,729
54,74
54,97
54,144
54,221
54,285
54,326
54,435
54,453
54,489
54,494
54,572
54,651
54,671
54,681
54,728
54,763
54,823
55,56
55,57
55,58
60,61
61,331
61,432
61,504
61,678
61,725
61,818
61,819
62,63
62,64
62,65
62,66
62,67
62,68
62,69
63,568
64,331
65,331
65,579
65,819
66,819
67,331
68,331
69,331
71,72
71,73
72,175
72,244
72,258
72,280
72,285
72,432
72,453
72,472
72,476
72,491
72,546
72,550
72,682
72,756
72,769
72,801
72,816
72,823
72,836
73,671
73,816
74,75
74,76
78,79
78,80
80,611
82,83
82,84
82,85
82,86
84,331
84,579
85,331
86,331
86,579
87,88
87,89
87,90
88,231
88,652
90,652
91,92
91,93
92,469
92,551
92,681
92,682
92,719
92,796
94,95
94,96
95,572
95,733
95,853
96,572
96,733
97,98
97,99
97,100
97,101
97,102
97,103
98,449
102,175
102,449
102,625
102,737
102,823
106,107
107,193
107,389
107,504
107,725
108,109
108,110
109,305
109,546
109,681
109,796
109,816
110,217
110,285
110,305
110,497
110,598
110,681
110,796
110,816
110,836
111,112
111,113
114,115
114,116
115,199
115,454
115,530
115,559
115,732
115,733
115,770
115,807
117,118
117,119
117,120
118,473
118,781
121,122
121,123
121,124
121,125
121,126
121,127
121,128
121,129
121,130
121,131
121,132
121,133
121,134
121,135
121,136
121,137
121,138
121,139
121,140
121,141
121,142
121,143
133,316
133,526
133,716
143,295
143,607
143,611
143,752
144,145
144,146
144,147
144,148
144,149
144,150
144,151
144,152
144,153
144,154
144,155
144,156
144,157
144,158
144,159
144,160
144,161
144,162
144,163
157,432
157,758
157,816
157,819
157,823
165,166
169,170
173,174
175,176
175,177
175,178
175,179
175,180
175,181
175,182
175,183
175,184
175,185
175,186
175,187
175,188
175,189
175,190
175,191
176,472
176,796
180,550
180,682
183,823
183,843
185,331
194,195
196,197
199,200
199,201
199,202
199,203
199,204
199,205
203,710
203,807
208,209
208,210
208,211
208,212
208,213
218,219
218,220
220,285
220,432
220,671
220,681
220,728
220,816
221,222
221,223
221,224
223,285
223,308
223,329
224,308
226,227
226,228
227,247
228,454
228,732
231,232
233,234
236,237
236,238
239,240
239,241
239,242
239,243
240,247
240,432
244,245
244,246
245,258
247,248
247,249
247,250
247,251
249,432
251,454
251,732
253,254
253,255
253,256
253,257
254,331
254,579
254,733
254,807
258,259
258,260
258,261
258,262
261,627
261,758
262,682
262,758
263,264
263,265
263,266
263,267
263,268
263,269
263,270
265,489
265,763
268,758
271,272
273,274
276,277
278,279
279,316
280,281
280,282
280,283
280,284
281,415
281,796
283,682
285,286
285,287
285,288
285,289
285,290
285,291
285,292
285,293
285,294
289,598
295,296
295,297
295,298
295,299
295,300
295,301
295,302
295,303
301,789
305,306
305,307
311,312
312,626
313,314
316,317
316,318
316,319
317,485
322,323
326,327
326,328
327,432
327,546
327,681
327,719
327,816
328,719
328,728
329,330
331,332
331,333
331,334
331,335
331,336
331,337
331,338
331,339
331,340
331,341
331,342
331,343
331,344
331,345
331,346
331,347
331,348
331,349
331,350
331,351
331,352
331,353
331,354
331,355
331,356
331,357
331,358
331,359
331,360
331,361
331,362
331,363
331,364
331,365
331,366
331,367
331,368
331,369
331,370
331,371
331,372
331,373
331,374
331,375
331,376
331,377
331,378
331,379
331,380
331,381
331,382
331,383
331,384
331,385
331,386
331,387
331,388
334,528
334,579
338,631
339,568
345,631
348,504
348,528
348,679
348,725
348,743
352,508
353,631
353,819
356,454
368,579
370,579
374,528
