# index, meta, _pos
0,AF,"array([0.15492538, 1.78250135])"
1,AX,"array([0.52094751, 1.48414688])"
2,AL,"array([0.32963564, 1.79933918])"
3,DZ,"array([0.44211548, 2.18103999])"
4,AS,"array([0.40623289, 2.16199044])"
5,AD,"array([0.6947902 , 2.10651069])"
6,AO,"array([0.75207692, 2.39953652])"
7,AI,"array([0.31603549, 2.02304053])"
8,AG,"array([0.53320864, 2.12204464])"
9,AR,"array([0.61621652, 1.98900918])"
10,AM,"array([0.20474662, 1.73322225])"
11,AW,"array([0.54342663, 1.95292993])"
12,AC,"array([0.46874702, 2.05655404])"
13,AU,"array([0.51265105, 1.9055384 ])"
14,AT,"array([0.51710517, 1.93145427])"
15,AZ,"array([0.09901187, 1.65111194])"
16,BS,"array([0.41595675, 2.06154417])"
17,BH,"array([0.19756854, 2.05115018])"
18,BD,"array([0.10417223, 1.9862114 ])"
19,BB,"array([0.44073203, 2.04005865])"
20,BY,"array([0.44990631, 1.63627924])"
21,BE,"array([0.5543183, 2.0588952])"
22,BZ,"array([0.57109166, 2.00724831])"
23,BJ,"array([0.53268465, 2.37980598])"
24,BM,"array([0.4094097 , 2.12312541])"
25,BT,"array([0.11602868, 2.07666357])"
26,BO,"array([0.92484156, 1.89434669])"
27,BA,"array([0.35074125, 1.84769463])"
28,BW,"array([0.3663557, 2.1856527])"
29,BR,"array([0.658437  , 1.91698301])"
30,IO,"array([0.34695189, 2.01311276])"
31,VG,"array([0.43698752, 2.11111278])"
32,BN,"array([0.46227849, 1.85218318])"
33,BG,"array([0.37515647, 1.88918774])"
34,BF,"array([0.74460448, 2.3482189 ])"
35,BI,"array([0.45531423, 2.35093299])"
36,KH,"array([0.24963967, 1.21564603])"
37,CM,"array([0.39892058, 2.47537312])"
38,CA,"array([0.79425927, 2.064869  ])"
39,IC,"array([0.88328128, 1.92141293])"
40,CV,"array([0.79293897, 2.32129033])"
41,BQ,"array([0.70045793, 1.85231517])"
42,KY,"array([0.31265744, 1.96611227])"
43,CF,"array([0.68440737, 2.35090363])"
44,EA,"array([0.84922737, 1.98732316])"
45,TD,"array([0.45694291, 2.20581973])"
46,CL,"array([0.62094089, 2.03287796])"
47,CN,"array([0.3528468 , 1.66392023])"
48,CX,"array([0.3818115 , 2.14348055])"
49,CP,"array([-0.93496033,  2.72176675])"
50,CC,"array([0.42151329, 1.87188264])"
51,CO,"array([0.93030723, 1.96242194])"
52,KM,"array([0.4438827 , 2.26458667])"
53,CG,"array([0.62906508, 2.33970911])"
54,CD,"array([0.50733822, 2.45731162])"
55,CK,"array([0.35714894, 2.12628308])"
56,CR,"array([0.88832053, 1.95578031])"
57,CI,"array([0.84014779, 2.36574523])"
58,HR,"array([0.514139  , 1.97622151])"
59,CU,"array([0.8549722 , 2.02237781])"
60,CW,"array([0.71367907, 1.88739389])"
61,CY,"array([0.32944649, 1.93435181])"
62,CZ,"array([0.42604862, 1.92888551])"
63,DK,"array([0.56878582, 1.83583427])"
64,DG,"array([0.48947789, 2.02998368])"
65,DJ,"array([0.35298023, 2.22484127])"
66,DM,"array([0.37549453, 2.06644398])"
67,DO,"array([0.59609861, 2.00964447])"
68,EC,"array([0.96154112, 1.93469917])"
69,EG,"array([0.34672993, 2.04288906])"
70,SV,"array([0.87054426, 1.88587529])"
71,GQ,"array([0.78311302, 2.16502837])"
72,ER,"array([0.21930441, 2.13128721])"
73,EE,"array([0.42752134, 1.51378027])"
74,ET,"array([0.19780272, 2.10941821])"
75,FK,"array([0.40705311, 2.0911781 ])"
76,FO,"array([1.15256595, 3.29888869])"
77,FJ,"array([0.15516288, 2.14369729])"
78,FI,"array([0.42156936, 1.70729119])"
79,FR,"array([0.65368288, 2.0562224 ])"
80,GF,"array([0.57824541, 1.98122594])"
81,PF,"array([0.55092264, 1.98896526])"
82,TF,"array([0.66270136, 2.25416333])"
83,GA,"array([0.70681267, 2.31904576])"
84,GM,"array([0.49488263, 2.2064469 ])"
85,GE,"array([0.20129499, 1.65906313])"
86,DE,"array([0.53786038, 1.86950896])"
87,GH,"array([0.57782905, 2.35837971])"
88,GI,"array([0.30011689, 2.09124141])"
89,GR,"array([0.31267895, 1.84332355])"
