# index, _pos
0,"[0.15492538, 1.78250135]"
1,"[0.08248015, 1.69482189]"
2,"[0.25349539, 1.75252728]"
3,"[0.11205428, 1.88595252]"
4,"[0.28197207, 1.73610468]"
5,"[0.15756561, 1.91347945]"
6,"[0.11989193, 1.72188661]"
7,"[0.24908878, 1.69613605]"
8,"[0.09434744, 1.85741297]"
9,"[0.0776599, 1.7624573]"
10,"[0.52094751, 1.48414688]"
11,"[0.4832078, 1.61021014]"
12,"[0.32963564, 1.79933918]"
13,"[0.41064031, 1.89794501]"
14,"[0.28815383, 1.76392344]"
15,"[0.30472314, 1.71883975]"
16,"[0.44211548, 2.18103999]"
17,"[0.39624507, 2.03932343]"
18,"[0.32775115, 2.13424672]"
19,"[0.43975117, 2.29927294]"
20,"[0.56516743, 2.19518601]"
21,"[0.49893174, 2.26252959]"
22,"[0.40623289, 2.16199044]"
23,"[0.43906977, 2.23463821]"
24,"[0.6947902, 2.10651069]"
25,"[0.74244381, 1.97949059]"
26,"[0.73098388, 2.0886143]"
27,"[0.75207692, 2.39953652]"
28,"[0.64632654, 2.42168522]"
29,"[0.63298135, 2.20554946]"
30,"[0.82531441, 2.52306611]"
31,"[0.85584016, 2.49524196]"
32,"[0.31603549, 2.02304053]"
33,"[0.53320864, 2.12204464]"
34,"[0.61621652, 1.98900918]"
35,"[0.48254469, 1.9806257]"
36,"[0.79687862, 1.93748252]"
37,"[0.20474662, 1.73322225]"
38,"[0.29643472, 1.80514794]"
39,"[0.24865751, 1.78328601]"
40,"[0.15187861, 1.67139103]"
41,"[0.54342663, 1.95292993]"
42,"[0.66348714, 1.88460089]"
43,"[0.61712742, 1.90365648]"
44,"[0.46874702, 2.05655404]"
45,"[0.51265105, 1.9055384]"
46,"[0.62683561, 1.94439879]"
47,"[0.49963728, 1.78298088]"
48,"[0.59039887, 1.85437983]"
49,"[0.51710517, 1.93145427]"
50,"[0.44663875, 1.87216972]"
51,"[0.62316191, 1.87512356]"
52,"[0.50006627, 1.87889117]"
53,"[0.58076713, 1.91829781]"
54,"[0.5728278, 1.9572147]"
55,"[0.09901187, 1.65111194]"
56,"[-0.02462059, 1.6062232]"
57,"[-0.02415772, 1.5679908]"
58,"[0.01388969, 1.56580603]"
59,"[0.41595675, 2.06154417]"
60,"[0.19756854, 2.05115018]"
61,"[0.20305096, 1.92440391]"
62,"[0.10417223, 1.9862114]"
63,"[0.00906966, 1.83872351]"
64,"[1.40131618e-06, 2.00847353]"
65,"[0.08078981, 2.05004115]"
66,"[0.18854922, 1.94979841]"
67,"[-0.02712022, 2.0234735]"
68,"[-0.01182172, 1.96561499]"
69,"[-0.03200567, 1.99021245]"
70,"[0.44073203, 2.04005865]"
71,"[0.44990631, 1.63627924]"
72,"[0.37092922, 1.69453717]"
73,"[0.48881648, 1.71068228]"
74,"[0.5543183, 2.0588952]"
75,"[0.61981484, 2.10221667]"
76,"[0.62052819, 2.13872698]"
77,"[0.57109166, 2.00724831]"
78,"[0.53268465, 2.37980598]"
79,"[0.57760448, 2.50820173]"
80,"[0.40290542, 2.43141816]"
81,"[0.4094097, 2.12312541]"
82,"[0.11602868, 2.07666357]"
83,"[0.01714487, 2.08387585]"
84,"[-0.0191326, 2.11672637]"
85,"[-0.01363124, 2.05849206]"
86,"[-0.03640182, 2.0962228]"
87,"[0.92484156, 1.89434669]"
88,"[1.01518693, 1.91028683]"
89,"[1.05533762, 1.84162785]"
90,"[1.01428367, 1.87114095]"
91,"[0.35074125, 1.84769463]"
92,"[0.28901799, 1.69558579]"
93,"[0.23373739, 1.81933608]"
94,"[0.3663557, 2.1856527]"
95,"[0.37136674, 2.26013413]"
96,"[0.39808943, 2.2678702]"
97,"[0.658437, 1.91698301]"
98,"[0.7843997, 1.75943242]"
99,"[0.7728528, 1.83630418]"
100,"[0.74758148, 1.85369461]"
101,"[0.7867057, 1.86744384]"
102,"[0.61091234, 1.69957108]"
103,"[0.80354062, 1.83015128]"
104,"[0.34695189, 2.01311276]"
105,"[0.43698752, 2.11111278]"
106,"[0.46227849, 1.85218318]"
107,"[0.45643301, 1.71298478]"
108,"[0.37515647, 1.88918774]"
109,"[0.35665709, 1.80007654]"
110,"[0.3873076, 1.79722357]"
111,"[0.74460448, 2.3482189]"
112,"[0.83493595, 2.44914414]"
113,"[0.85836888, 2.41872154]"
114,"[0.45531423, 2.35093299]"
115,"[0.31559102, 2.36015673]"
116,"[0.44154789, 2.47402165]"
117,"[0.24963967, 1.21564603]"
118,"[0.23875977, 1.3887548]"
119,"[0.23146713, 1.11517735]"
120,"[0.27890209, 1.1203849]"
121,"[0.39892058, 2.47537312]"
122,"[0.44207402, 2.61421825]"
123,"[0.35382101, 2.62436477]"
124,"[0.32465614, 2.60993281]"
125,"[0.38532497, 2.6316493]"
126,"[0.39998716, 2.66488327]"
127,"[0.29175166, 2.61124196]"
128,"[0.32335775, 2.64346779]"
129,"[0.47195915, 2.6331043]"
130,"[0.30130123, 2.57445091]"
131,"[0.43200667, 2.58112349]"
132,"[0.47116583, 2.59426629]"
133,"[0.5410901, 2.41073159]"
134,"[0.4053259, 2.60404751]"
135,"[0.37122517, 2.59670941]"
136,"[0.44380193, 2.65634127]"
137,"[0.32670822, 2.54610468]"
138,"[0.41945209, 2.63610507]"
139,"[0.33898376, 2.58147213]"
140,"[0.36242037, 2.55677759]"
141,"[0.39658587, 2.57091871]"
142,"[0.36118338, 2.65944424]"
143,"[0.41805723, 2.37115591]"
144,"[0.79425927, 2.064869]"
145,"[0.90321463, 2.10967735]"
146,"[0.93853938, 2.16586311]"
147,"[0.91710202, 2.1394528]"
148,"[0.94385385, 2.02005015]"
149,"[0.94258153, 2.05422936]"
150,"[0.90733142, 2.04952291]"
151,"[0.94088241, 2.11544541]"
152,"[0.87982588, 2.06596716]"
153,"[0.96332989, 2.14034302]"
154,"[0.91744672, 2.08169183]"
155,"[0.97315044, 2.03565575]"
156,"[0.90046194, 2.1680045]"
157,"[0.53637431, 1.90374609]"
158,"[0.8718903, 2.10193573]"
159,"[0.95165259, 2.08576505]"
160,"[0.87658822, 2.13956442]"
161,"[0.91058287, 2.01748467]"
162,"[0.97777666, 2.10742787]"
163,"[0.98044052, 2.0703882]"
164,"[0.88328128, 1.92141293]"
165,"[0.79293897, 2.32129033]"
166,"[0.90303028, 2.38776677]"
167,"[0.70045793, 1.85231517]"
168,"[0.31265744, 1.96611227]"
169,"[0.68440737, 2.35090363]"
170,"[0.78397625, 2.43968036]"
171,"[0.84922737, 1.98732316]"
172,"[0.45694291, 2.20581973]"
173,"[0.62094089, 2.03287796]"
174,"[0.73996569, 2.05158506]"
175,"[0.3528468, 1.66392023]"
176,"[0.28107625, 1.66557468]"
177,"[0.36392076, 1.53695085]"
178,"[0.3882194, 1.51252532]"
179,"[0.3388961, 1.56834629]"
180,"[0.26101268, 1.57474763]"
181,"[0.30034482, 1.515622]"
182,"[0.3160053, 1.54495558]"
183,"[0.51509713, 1.6907114]"
184,"[0.33807375, 1.52169251]"
185,"[0.12316287, 1.83164902]"
186,"[0.27629928, 1.54017147]"
187,"[0.29927632, 1.57180788]"
188,"[0.36098647, 1.49671682]"
189,"[0.40226022, 1.54400009]"
190,"[0.37401283, 1.56807366]"
