# source, target
0,1
0,2
1,2
1,9
1,284
1,300
1,308
1,416
1,426
1,603
2,31
2,409
2,411
3,4
3,9
3,28
3,34
3,99
3,117
3,300
3,416
3,466
3,488
3,515
3,552
4,8
4,27
4,99
4,117
4,152
4,278
4,282
4,284
4,295
4,302
4,305
4,310
4,311
4,318
4,333
4,340
4,343
4,365
4,372
4,383
4,405
4,416
4,426
4,430
4,433
4,445
4,541
4,603
4,606
4,660
5,6
5,7
5,21
5,37
5,43
5,306
5,512
5,663
6,43
7,21
7,67
7,663
8,284
8,296
8,310
8,416
8,426
8,603
9,10
9,308
10,15
10,16
10,22
10,23
10,26
10,28
10,38
10,40
10,41
10,42
10,46
10,55
10,58
10,60
10,65
10,68
10,71
10,72
10,73
10,77
10,80
10,82
10,179
10,182
10,184
10,248
10,263
10,300
10,306
10,372
10,373
10,398
10,455
10,471
10,532
10,557
10,559
10,562
10,581
10,592
10,648
10,659
11,12
11,46
11,446
12,46
12,446
13,14
13,64
13,449
13,510
14,41
14,64
14,79
14,510
14,532
14,581
15,55
15,65
15,73
15,398
16,23
16,26
16,28
16,33
16,38
16,42
16,46
16,51
16,80
16,184
16,263
16,308
16,355
16,356
16,562
17,18
17,23
17,24
17,28
17,33
17,77
17,80
17,87
17,93
17,94
17,101
17,104
17,105
17,107
17,108
17,109
17,111
17,112
17,121
17,122
17,123
17,124
17,125
17,126
17,127
17,134
17,137
17,157
17,162
17,174
17,175
17,182
17,184
17,186
17,187
17,196
17,200
17,216
17,217
17,219
17,220
17,227
17,230
17,231
17,235
17,247
17,248
17,257
17,263
17,272
17,275
17,276
17,277
17,299
17,317
17,318
17,474
17,482
17,557
17,562
18,26
18,53
18,79
18,87
18,91
18,112
18,125
18,126
18,137
18,188
18,196
18,220
18,235
18,248
18,380
18,421
18,441
18,474
18,482
18,486
18,499
18,511
18,573
18,615
18,616
19,20
19,23
19,24
19,42
19,77
19,80
19,127
19,131
19,132
19,182
19,186
19,201
19,260
19,261
19,263
20,26
20,42
20,46
20,77
20,80
20,130
20,260
20,261
20,263
21,36
21,306
21,373
22,25
22,35
22,40
22,55
22,60
22,65
22,66
22,73
22,82
22,398
23,24
23,26
23,33
23,42
23,46
23,80
23,105
23,123
23,124
23,125
23,130
23,157
23,184
23,230
23,248
23,263
23,306
23,562
23,619
24,26
24,42
24,103
24,105
24,122
24,123
24,125
24,130
24,143
24,180
24,182
24,275
24,276
24,324
25,40
25,55
26,33
26,41
26,42
26,46
26,79
26,80
26,87
26,123
26,125
26,182
26,184
26,186
26,248
26,254
26,263
26,306
26,456
26,511
26,528
26,559
26,562
26,581
26,589
26,615
26,616
26,635
27,282
27,305
27,318
27,372
27,383
27,416
27,433
28,38
28,42
28,46
28,51
28,58
28,63
28,68
28,71
28,77
28,80
28,179
28,184
28,186
28,263
28,471
28,557
28,559
28,562
28,635
28,648
29,30
29,332
29,517
29,548
29,662
30,332
30,512
30,517
30,548
30,662
31,32
31,59
31,660
32,59
32,660
33,61
33,70
33,75
33,76
33,79
33,80
33,87
33,105
33,123
33,124
33,125
33,126
33,127
33,137
33,142
33,157
33,167
33,175
33,179
33,182
33,184
33,186
33,188
33,196
33,219
33,227
33,230
33,248
33,250
33,254
33,263
33,276
33,277
33,355
33,356
33,390
33,456
33,483
33,511
33,512
33,557
33,562
33,583
33,619
33,620
33,635
33,648
33,649
34,349
34,540
35,40
35,55
35,82
37,76
37,663
38,39
38,41
38,42
38,80
38,89
38,263
38,581
38,602
38,638
39,104
39,113
39,117
39,149
39,166
39,192
39,199
39,202
39,208
39,217
39,223
39,229
39,269
39,369
39,416
40,55
40,58
40,60
40,65
40,66
40,73
40,82
40,398
41,58
41,64
41,68
41,79
41,80
41,125
41,179
41,184
41,186
41,248
41,263
41,421
41,449
41,455
41,471
41,474
41,475
41,486
41,487
41,489
41,499
41,511
41,513
41,520
41,528
41,532
41,534
41,555
41,557
41,559
41,562
41,566
41,567
41,580
41,583
41,587
41,590
41,592
41,610
41,616
41,635
41,638
41,639
41,648
41,649
41,654
41,655
41,656
41,659
42,46
42,80
42,123
42,130
42,182
42,227
42,248
42,263
42,557
44,45
44,61
44,108
44,283
44,311
44,312
44,317
44,327
44,348
44,359
44,387
44,390
44,405
44,407
44,432
44,439
44,440
45,327
45,366
45,412
46,51
46,77
46,80
46,248
46,263
46,301
46,446
47,48
47,50
47,456
48,49
48,50
50,74
50,79
50,511
50,543
50,566
50,567
50,591
50,635
50,648
50,649
50,655
50,659
51,52
53,54
53,235
53,441
54,235
54,380
54,441
55,58
55,60
55,65
55,66
55,71
55,72
55,73
55,82
55,179
55,398
56,57
56,324
56,387
57,387
58,60
58,63
58,65
58,66
58,68
58,71
58,72
58,73
58,74
58,79
58,179
58,248
58,306
58,373
58,398
58,455
58,471
58,499
58,513
58,557
58,559
58,581
58,592
58,635
58,638
58,648
58,655
58,659
60,63
60,65
60,66
60,73
60,398
61,62
61,87
61,123
61,127
61,202
61,236
61,251
61,279
61,289
61,290
61,295
61,314
61,319
61,355
61,366
61,369
61,412
61,424
61,528
61,619
62,78
62,87
62,286
62,287
62,288
62,290
62,323
62,348
62,351
62,390
62,396
62,406
62,410
62,412
62,424
62,456
62,619
63,68
63,71
63,471
63,648
64,79
64,116
64,182
64,184
64,449
64,455
64,471
64,510
64,557
64,558
64,559
64,562
64,581
64,583
64,592
64,602
64,610
64,635
64,648
64,659
65,66
65,72
65,73
65,82
65,179
66,73
66,82
66,398
67,320
67,512
67,517
67,663
67,664
68,69
68,71
68,72
68,79
68,81
68,179
68,248
68,306
68,373
68,401
68,447
68,471
68,557
68,581
68,583
68,592
68,635
68,638
68,648
69,81
69,306
69,447
70,75
70,127
71,73
71,179
71,394
71,455
71,471
71,559
71,592
71,596
71,648
71,659
72,179
72,398
72,421
72,471
72,592
72,648
73,82
73,179
73,398
74,592
74,648
75,127
75,248
75,250
75,292
75,356
76,512
77,80
77,93
77,94
77,101
77,104
77,105
77,107
77,108
77,109
77,111
77,112
77,121
77,122
77,124
77,125
77,126
77,130
77,134
77,137
77,162
77,174
77,186
77,187
77,196
77,216
77,217
77,219
77,220
77,230
77,231
77,241
77,247
77,257
77,263
77,272
77,275
77,299
77,317
77,318
77,474
77,482
77,557
77,648
78,289
79,80
79,87
79,105
79,123
79,125
79,126
79,137
79,142
79,157
79,168
79,179
79,182
79,184
79,186
79,188
79,196
79,219
79,227
79,230
79,248
79,250
79,263
79,320
79,421
79,449
79,455
79,460
79,462
79,471
79,474
79,475
79,483
79,486
79,487
79,499
79,511
79,512
79,513
79,520
79,526
79,528
79,529
79,532
79,534
79,538
79,557
79,558
79,559
79,562
79,566
79,567
79,573
79,581
79,583
79,585
79,592
79,610
79,611
79,616
79,635
79,638
79,648
79,649
79,655
79,659
79,664
80,87
80,102
80,105
80,106
80,112
80,123
80,125
80,130
80,132
80,133
80,137
80,148
80,157
80,162
80,175
80,179
80,182
80,184
80,186
80,201
80,219
