# index, _pos
0,"[7.6635834, -1.61372565]"
1,"[7.72458706, -1.55646375]"
2,"[7.65794435, -1.64257787]"
3,"[7.74532222, -1.51635109]"
4,"[7.83832112, -1.5461273]"
5,"[7.65080744, -1.35211825]"
6,"[7.57764172, -1.32096613]"
7,"[7.62490757, -1.34849761]"
8,"[7.81590854, -1.58753648]"
9,"[7.69751779, -1.48810241]"
10,"[7.76470983, -1.36508774]"
11,"[7.83816285, -1.50244945]"
12,"[7.85320694, -1.50823679]"
13,"[7.69117221, -1.36191979]"
14,"[7.73788668, -1.35252961]"
15,"[7.68179768, -1.32394076]"
16,"[7.79528699, -1.43369447]"
17,"[7.87196604, -1.41309525]"
18,"[7.88653228, -1.35896249]"
19,"[7.85350559, -1.42624096]"
20,"[7.8364412, -1.43536934]"
21,"[7.66577348, -1.31106109]"
22,"[7.67866512, -1.29173768]"
23,"[7.82634649, -1.40142736]"
24,"[7.8764012, -1.44208809]"
25,"[7.65250424, -1.25523699]"
26,"[7.83241269, -1.3824469]"
27,"[7.85225941, -1.52497532]"
28,"[7.79013564, -1.39229433]"
29,"[7.71437475, -1.52341854]"
30,"[7.71956893, -1.50217232]"
31,"[7.70635813, -1.62420471]"
32,"[7.72485058, -1.63186643]"
33,"[7.82997581, -1.40883384]"
34,"[7.63947549, -1.58325507]"
35,"[7.64849638, -1.27572843]"
36,"[7.59804908, -1.27136893]"
37,"[7.62150281, -1.37442808]"
38,"[7.81331445, -1.40503302]"
39,"[7.88936608, -1.47174973]"
40,"[7.69290894, -1.29425735]"
41,"[7.80214647, -1.36185211]"
42,"[7.81874984, -1.4158613]"
43,"[7.57229842, -1.34171587]"
44,"[7.94199161, -1.5348354]"
45,"[7.98790332, -1.57384816]"
46,"[7.81701322, -1.44240904]"
47,"[7.75271006, -1.25583995]"
48,"[7.70070779, -1.21276883]"
49,"[7.6515932, -1.15640699]"
50,"[7.7687223, -1.29860318]"
51,"[7.72183079, -1.45308827]"
52,"[7.64030136, -1.5051047]"
53,"[7.98271252, -1.34675158]"
54,"[8.00673368, -1.36487805]"
55,"[7.70535003, -1.30245121]"
56,"[8.02936048, -1.59929719]"
57,"[8.03375704, -1.63467973]"
58,"[7.76187253, -1.32642955]"
59,"[7.6846514, -1.67298272]"
60,"[7.71046214, -1.28793427]"
61,"[7.91417687, -1.46162566]"
62,"[7.90100662, -1.49763503]"
63,"[7.73764955, -1.31290725]"
64,"[7.77738088, -1.3468548]"
65,"[7.72098505, -1.29950455]"
66,"[7.68952921, -1.27778418]"
67,"[7.66997404, -1.38203439]"
68,"[7.76211885, -1.31716304]"
69,"[7.70796854, -1.267949]"
70,"[7.80003915, -1.45386825]"
71,"[7.76216641, -1.30578546]"
72,"[7.7499936, -1.31023057]"
73,"[7.71586575, -1.31129277]"
74,"[7.7460318, -1.2772953]"
75,"[7.83215128, -1.46368624]"
76,"[7.69292737, -1.38682513]"
77,"[7.86670282, -1.40781243]"
78,"[7.96974424, -1.55616974]"
79,"[7.81635563, -1.36251055]"
80,"[7.84750219, -1.38158537]"
81,"[7.68710597, -1.2500299]"
82,"[7.68178579, -1.30610003]"
83,"[7.94182213, -1.41779365]"
84,"[7.97505384, -1.45187114]"
85,"[7.9593255, -1.43699785]"
86,"[7.96778222, -1.46526893]"
87,"[7.87648829, -1.38796476]"
88,"[7.98865061, -1.43523306]"
89,"[7.88580147, -1.46312898]"
90,"[7.98616724, -1.47826336]"
91,"[7.95033791, -1.34644439]"
92,"[7.98924273, -1.44938132]"
93,"[7.89961808, -1.42563503]"
94,"[7.88636067, -1.43326623]"
95,"[7.91526071, -1.31761873]"
96,"[7.92591332, -1.31614329]"
97,"[7.99468217, -1.4164066]"
98,"[7.941717, -1.32791916]"
99,"[7.78548998, -1.5176773]"
100,"[7.76844434, -1.5765298]"
101,"[7.9240584, -1.42470991]"
102,"[7.91966708, -1.36858422]"
103,"[7.95610755, -1.37152395]"
104,"[7.91269957, -1.4354959]"
105,"[7.86924514, -1.38806219]"
106,"[7.88806252, -1.37113869]"
107,"[7.91604336, -1.41797974]"
108,"[7.90769486, -1.47262739]"
109,"[7.90829735, -1.41345718]"
110,"[7.90823051, -1.44544869]"
111,"[7.89446364, -1.43455895]"
112,"[7.88050747, -1.38175589]"
113,"[7.8806385, -1.4887282]"
114,"[7.8908346, -1.27752693]"
115,"[7.96571672, -1.32374329]"
116,"[7.85928376, -1.34609597]"
117,"[7.8057608, -1.51249164]"
118,"[7.76924388, -1.51530652]"
119,"[7.75624986, -1.45573507]"
120,"[7.750154, -1.58567268]"
121,"[7.90436706, -1.43381522]"
122,"[7.88894777, -1.40607154]"
123,"[7.85186819, -1.41452906]"
124,"[7.86485252, -1.4321637]"
125,"[7.86948079, -1.39742689]"
126,"[7.84670971, -1.39485402]"
127,"[7.85590251, -1.40683357]"
128,"[7.85287784, -1.49301739]"
129,"[7.85495789, -1.44415592]"
130,"[7.86029312, -1.41884728]"
131,"[7.9420953, -1.38025318]"
132,"[7.89447978, -1.39869363]"
133,"[7.83351182, -1.42510337]"
134,"[7.88688813, -1.41834153]"
135,"[7.87665571, -1.34579871]"
136,"[7.94178101, -1.35776609]"
137,"[7.87650658, -1.40089299]"
138,"[7.91625427, -1.3039539]"
139,"[7.90644556, -1.48777106]"
140,"[7.97261196, -1.44107126]"
141,"[7.91579894, -1.48231628]"
142,"[7.83970343, -1.36681786]"
143,"[7.84465743, -1.47632272]"
144,"[7.95736127, -1.47082768]"
145,"[7.8353642, -1.5199829]"
146,"[7.85649593, -1.46740147]"
147,"[7.91768762, -1.3578372]"
148,"[7.92797165, -1.39301284]"
149,"[7.92369882, -1.43445064]"
150,"[7.73722995, -1.40094486]"
151,"[7.73014524, -1.41752046]"
152,"[7.78044033, -1.55237784]"
153,"[7.70876321, -1.55384512]"
154,"[7.94137848, -1.30111769]"
155,"[7.90028699, -1.297402]"
156,"[7.95991907, -1.45025448]"
157,"[7.85308137, -1.37419795]"
158,"[7.9280043, -1.33760872]"
159,"[7.96344001, -1.41376778]"
160,"[7.94348669, -1.40560425]"
161,"[7.96515283, -1.40312675]"
162,"[7.89197155, -1.4133814]"
163,"[7.86928709, -1.46232858]"
164,"[7.916417, -1.39581638]"
165,"[8.02160336, -1.35188337]"
166,"[7.95019155, -1.45129346]"
167,"[7.86859765, -1.42387702]"
168,"[7.81565357, -1.3927259]"
169,"[7.96391091, -1.43044043]"
170,"[8.04097639, -1.41135929]"
171,"[7.97624124, -1.46302916]"
172,"[7.96650928, -1.49817576]"
173,"[7.87059026, -1.53527478]"
174,"[7.90874656, -1.4243502]"
175,"[7.84455421, -1.40794765]"
176,"[7.94595664, -1.45824552]"
177,"[7.95128117, -1.43417418]"
178,"[7.9352787, -1.47834474]"
179,"[7.79140667, -1.35303489]"
180,"[7.89463171, -1.38843302]"
181,"[7.96006805, -1.45961786]"
182,"[7.83789777, -1.37465094]"
183,"[7.80744131, -1.4171314]"
