id,u,v
0,0,5
1,0,6
2,0,7
3,0,8
4,0,38
5,0,69
6,2,31
7,2,50
8,2,57
9,2,85
10,3,50
11,3,71
12,4,88
13,4,94
14,5,57
15,5,91
16,6,45
17,6,95
18,7,24
19,7,26
20,7,28
21,7,29
22,7,49
23,7,71
24,7,79
25,8,25
26,9,41
27,9,44
28,10,12
29,10,68
30,10,95
31,10,98
32,11,30
33,11,66
34,11,68
35,11,69
36,12,42
37,12,55
38,12,71
39,12,81
40,13,23
41,13,29
42,13,50
43,13,78
44,13,85
45,14,18
46,14,33
47,14,71
48,14,83
49,15,20
50,15,34
51,15,45
52,15,47
53,15,66
54,15,73
55,15,80
56,16,58
57,16,99
58,17,50
59,18,25
60,18,88
61,19,20
62,19,21
63,20,36
64,20,50
65,20,71
66,20,78
67,20,91
68,21,23
69,21,41
70,21,70
71,21,92
72,22,27
73,22,58
74,22,71
75,22,79
76,22,88
77,22,92
78,23,31
79,23,47
80,23,70
81,23,97
82,24,37
83,24,40
84,24,53
85,24,56
86,24,65
87,24,83
88,24,96
89,25,38
90,25,54
91,25,82
92,25,98
93,26,41
94,26,56
95,26,85
96,27,33
97,27,87
98,27,94
99,28,30
100,28,49
101,28,88
102,29,48
103,29,73
104,31,36
105,31,39
106,31,53
107,31,54
108,31,85
109,32,36
110,32,66
111,33,74
112,33,79
113,33,93
114,34,42
115,34,52
116,34,94
117,35,53
118,35,89
119,35,92
120,35,98
121,36,73
122,36,95
123,37,49
124,37,53
125,38,53
126,38,67
127,39,43
128,39,45
129,40,79
130,41,54
131,41,72
132,42,43
133,42,76
134,42,94
135,43,92
136,43,93
137,44,45
138,44,88
139,44,97
140,45,63
141,45,70
142,46,50
143,46,60
144,47,54
145,47,82
146,47,83
147,47,91
148,48,82
149,48,98
150,49,81
151,50,89
152,52,55
153,52,73
154,52,99
155,53,68
156,53,94
157,54,56
158,54,86
159,54,98
160,55,88
161,55,89
162,56,60
163,56,68
164,56,95
165,57,72
166,57,92
167,59,94
168,60,67
169,60,68
170,62,74
171,62,83
172,62,88
173,63,71
174,63,80
175,64,69
176,65,72
177,65,96
178,66,72
179,66,97
180,67,78
181,67,91
182,68,83
183,68,89
184,68,93
185,68,98
186,69,94
187,70,73
188,70,99
189,73,77
190,74,90
191,75,92
192,78,87
193,78,88
194,80,83
195,83,99
196,87,93
197,87,95
198,88,99
199,94,98
