node,labels
93,7.99
45,7.712
77,7.022
76,6.928
2,6.882
0,6.784
92,6.73
26,6.684
91,6.598
96,6.5
62,6.496
90,6.468
15,6.456
60,6.442
56,6.432
49,6.266
4,6.242
42,6.198
20,6.186
6,6.168
17,6.1
10,6.094
3,6.094
8,6.072
52,6.04
69,6.038
74,5.896
53,5.858
79,5.638
72,5.538
64,5.524
97,5.502
99,5.502
1,5.474
5,5.452
87,5.402
43,5.36
37,5.324
28,5.294
27,5.23
48,5.22
25,5.182
19,5.144
95,5.128
34,5.1
31,5.074
11,4.95
58,4.83
68,4.678
86,4.622
36,4.598
30,4.55
46,4.492
41,4.452
7,4.436
81,4.408
61,4.378
82,4.368
84,4.34
29,4.33
65,4.292
55,4.282
35,4.244
16,4.242
44,4.226
32,4.214
9,4.148
14,4.128
51,4.096
38,4.092
85,4.046
70,3.972
67,3.934
89,3.898
63,3.892
21,3.882
22,3.85
94,3.748
73,3.744
98,3.714
24,3.522
50,3.49
66,3.452
57,3.324
83,3.324
59,3.27
78,3.254
13,3.186
71,3.096
47,3.044
80,3.016
75,3.014
40,2.902
18,2.654
33,2.636
88,2.154
23,2.102
12,2.062
39,2.034
54,2.01
