id,node1,node2
0,0,5
1,0,6
2,0,7
3,0,8
4,0,9
5,0,13
6,0,18
7,0,23
8,0,25
9,0,41
10,0,43
11,0,47
12,1,7
13,1,11
14,1,12
15,1,22
16,1,23
17,1,26
18,1,33
19,1,35
20,1,39
21,1,40
22,2,9
23,2,12
24,2,14
25,2,16
26,2,17
27,2,25
28,2,27
29,2,35
30,2,37
31,2,39
32,2,47
33,3,6
34,3,10
35,3,14
36,3,23
37,3,25
38,3,27
39,3,32
40,3,34
41,3,37
42,3,44
43,3,45
44,4,12
45,4,15
46,4,21
47,4,25
48,4,34
49,4,37
50,4,45
51,4,47
52,4,48
53,5,6
54,5,7
55,5,9
56,5,14
57,5,17
58,5,19
59,5,20
60,5,21
61,5,26
62,5,37
63,5,40
64,5,41
65,6,7
66,6,12
67,6,13
68,6,15
69,6,17
70,6,21
71,6,24
72,6,25
73,6,26
74,6,40
75,6,43
76,6,47
77,7,12
78,7,18
79,7,22
80,7,23
81,7,40
82,7,43
83,7,46
84,8,13
85,8,18
86,8,34
87,8,36
88,8,42
89,8,46
90,9,10
91,9,14
92,9,15
93,9,18
94,9,24
95,9,27
96,9,29
97,9,30
98,9,33
99,9,36
100,9,37
101,9,41
102,9,47
103,9,48
104,10,11
105,10,14
106,10,16
107,10,22
108,10,25
109,10,27
110,10,39
111,10,45
112,10,49
113,11,13
114,11,28
115,11,33
116,11,34
117,11,35
118,11,37
119,11,39
120,11,40
121,12,22
122,12,23
123,12,24
124,12,29
125,12,30
126,12,34
127,12,44
128,12,45
129,13,14
130,13,19
131,13,23
132,13,29
133,13,33
134,13,34
135,13,35
136,13,42
137,13,48
138,14,23
139,14,25
140,14,30
141,14,31
142,14,38
143,14,41
144,15,28
145,15,29
146,15,30
147,15,31
148,15,34
149,15,39
150,15,43
151,15,46
152,15,48
153,16,17
154,16,21
155,16,26
156,16,34
157,16,38
158,16,41
159,16,43
160,16,46
161,16,48
162,17,20
163,17,22
164,17,35
165,17,37
166,17,39
167,17,45
168,17,48
169,17,49
170,18,19
171,18,23
172,18,25
173,18,26
174,18,27
175,18,28
176,18,29
177,18,31
178,18,32
179,18,33
180,18,34
181,18,44
182,18,46
183,18,47
184,19,25
185,19,28
186,19,30
187,19,31
188,19,36
189,19,38
190,19,44
191,19,47
192,20,24
193,20,27
194,20,33
195,20,37
196,20,39
197,20,47
198,21,28
199,21,34
200,21,37
201,21,41
202,21,42
203,22,34
204,22,35
205,22,36
206,22,37
207,22,43
208,22,44
209,22,45
210,22,47
211,22,49
212,23,24
213,23,28
214,23,32
215,23,37
216,23,49
217,24,29
218,24,31
219,24,33
220,24,34
221,24,36
222,24,40
223,24,46
224,25,27
225,25,28
226,25,29
227,25,31
228,25,33
229,25,35
230,25,36
231,25,38
232,25,47
233,25,48
234,26,27
235,26,28
236,26,29
237,26,38
238,26,41
239,26,42
240,26,45
241,26,47
242,27,29
243,27,32
244,27,33
245,27,34
246,27,38
247,27,45
248,28,31
249,28,35
250,28,36
251,28,41
252,28,43
253,28,45
254,28,47
255,28,49
256,29,38
257,29,41
258,29,42
259,30,32
260,30,37
261,30,39
262,30,41
263,30,43
264,30,44
265,30,49
266,31,36
267,31,40
268,31,44
269,31,46
270,32,36
271,32,47
272,33,44
273,33,47
274,34,41
275,34,49
276,35,40
277,35,41
278,35,42
279,35,47
280,35,49
281,36,48
282,37,42
283,37,43
284,38,41
285,38,43
286,38,45
287,38,46
288,38,47
289,39,41
290,39,49
291,40,44
292,41,44
293,41,49
294,42,44
295,42,49
296,43,49
297,44,47
298,45,49
299,46,48
