id,node1,node2
0,0,1
1,0,2
2,0,48
3,0,3
4,0,47
5,0,4
6,0,46
7,1,49
8,1,4
9,1,5
10,1,47
11,1,29
12,1,11
13,1,26
14,2,49
15,2,6
16,2,48
17,2,12
18,2,18
19,2,8
20,3,4
21,3,5
22,3,6
23,3,7
24,3,49
25,4,5
26,4,6
27,4,7
28,4,8
29,5,6
30,5,7
31,5,8
32,5,9
33,6,7
34,6,8
35,6,9
36,6,10
37,7,8
38,7,10
39,7,11
40,7,30
41,8,10
42,8,11
43,8,12
44,8,28
45,9,10
46,9,11
47,9,12
48,9,13
49,10,11
50,10,12
51,10,13
52,10,14
53,11,12
54,11,13
55,11,14
56,11,49
57,12,15
58,12,16
59,12,44
60,12,39
61,13,14
62,13,15
63,13,16
64,13,17
65,14,15
66,14,16
67,14,17
68,14,18
69,15,16
70,15,17
71,15,18
72,15,19
73,16,17
74,16,18
75,16,19
76,16,20
77,17,18
78,17,19
79,17,20
80,17,23
81,18,19
82,18,20
83,18,21
84,18,49
85,19,20
86,19,22
87,19,23
88,19,32
89,20,21
90,20,22
91,20,23
92,20,24
93,21,22
94,21,23
95,21,24
96,21,25
97,21,41
98,22,23
99,22,24
100,22,25
101,22,26
102,22,43
103,22,36
104,23,24
105,23,25
106,23,26
107,23,27
108,24,25
109,24,26
110,24,27
111,24,38
112,25,26
113,25,27
114,25,28
115,25,29
116,25,44
117,25,33
118,26,27
119,26,28
120,26,29
121,27,28
122,27,29
123,27,30
124,27,44
125,28,29
126,28,30
127,28,31
128,28,32
129,28,45
130,29,30
131,29,31
132,29,32
133,29,33
134,30,31
135,30,32
136,30,33
137,30,34
138,31,32
139,31,33
140,31,34
141,31,35
142,31,38
143,32,33
144,32,34
145,32,35
146,32,36
147,32,49
148,33,34
149,33,35
150,33,36
151,34,35
152,34,36
153,34,37
154,34,38
155,35,36
156,35,37
157,35,38
158,35,39
159,36,37
160,36,38
161,36,39
162,37,38
163,37,39
164,37,40
165,37,41
166,38,39
167,38,41
168,38,42
169,39,40
170,39,41
171,39,42
172,39,43
173,40,41
174,40,42
175,40,43
176,40,44
177,41,43
178,41,44
179,41,45
180,42,43
181,42,44
182,42,45
183,42,46
184,42,48
185,43,45
186,43,46
187,43,47
188,44,45
189,44,47
190,44,48
191,45,46
192,45,47
193,45,49
194,46,47
195,46,48
196,46,49
197,47,48
198,47,49
199,48,49
