id,u,v
0,0,1
1,0,99
2,0,2
3,0,3
4,0,4
5,0,96
6,1,2
7,1,3
8,1,4
9,1,97
10,1,12
11,1,18
12,2,3
13,2,4
14,2,5
15,2,99
16,2,6
17,2,98
18,3,4
19,3,5
20,3,6
21,3,7
22,4,5
23,4,6
24,4,7
25,4,8
26,4,82
27,4,98
28,5,6
29,5,7
30,5,8
31,5,9
32,5,27
33,6,7
34,6,8
35,6,10
36,6,69
37,7,8
38,7,9
39,7,10
40,7,11
41,7,99
42,8,9
43,8,10
44,8,11
45,8,12
46,9,10
47,9,11
48,9,12
49,9,13
50,10,11
51,10,12
52,10,13
53,10,82
54,11,12
55,11,13
56,11,14
57,11,15
58,11,99
59,12,13
60,12,16
61,12,77
62,13,14
63,13,15
64,13,16
65,13,17
66,13,57
67,14,15
68,14,16
69,14,17
70,14,18
71,15,16
72,15,17
73,15,18
74,15,19
75,16,18
76,16,19
77,16,20
78,16,55
79,16,74
80,17,18
81,17,19
82,17,20
83,17,21
84,18,19
85,18,20
86,18,21
87,18,22
88,19,21
89,19,22
90,19,23
91,19,93
92,20,21
93,20,22
94,20,23
95,20,24
96,21,22
97,21,23
98,21,24
99,21,25
100,22,23
101,22,24
102,22,25
103,22,56
104,23,24
105,23,25
106,23,26
107,23,27
108,24,25
109,24,26
110,24,27
111,24,28
112,25,26
113,25,27
114,25,28
115,25,29
116,25,52
117,26,27
118,26,28
119,26,29
120,26,30
121,27,28
122,27,29
123,27,90
124,28,29
125,28,30
126,28,31
127,28,32
128,28,98
129,29,30
130,29,31
131,29,32
132,29,33
133,30,31
134,30,32
135,30,33
136,30,88
137,31,32
138,31,33
139,31,34
140,31,35
141,31,93
142,32,33
143,32,35
144,32,36
145,32,78
146,33,34
147,33,35
148,33,36
149,33,37
150,34,35
151,34,36
152,34,37
153,34,38
154,35,36
155,35,37
156,35,38
157,35,39
158,36,37
159,36,38
160,36,39
161,36,40
162,37,38
163,37,39
164,37,40
165,37,41
166,38,41
167,38,42
168,38,92
169,38,70
170,39,40
171,39,41
172,39,42
173,39,43
174,40,42
175,40,43
176,40,44
177,40,77
178,41,42
179,41,43
180,41,44
181,41,45
182,42,43
183,42,44
184,42,45
185,42,56
186,42,61
187,43,44
188,43,46
189,43,69
190,43,92
191,44,45
192,44,46
193,44,47
194,44,48
195,45,46
196,45,47
197,45,48
198,45,49
199,46,47
200,46,48
201,46,49
202,46,50
203,47,48
204,47,49
205,47,50
206,47,51
207,48,49
208,48,50
209,48,51
210,48,52
211,49,50
212,49,51
213,49,52
214,49,53
215,50,51
216,50,52
217,50,53
218,50,54
219,51,52
220,51,53
221,51,54
222,51,55
223,51,89
224,52,53
225,52,54
226,52,56
227,53,54
228,53,55
229,53,56
230,53,57
231,54,55
232,54,56
233,54,57
234,54,65
235,55,56
236,55,57
237,55,58
238,55,59
239,55,60
240,56,57
241,56,59
242,56,60
243,56,74
244,57,58
245,57,59
246,57,61
247,58,59
248,58,60
249,58,61
250,58,62
251,58,97
252,59,60
253,59,61
254,59,62
255,59,63
256,60,61
257,60,63
258,60,64
259,61,62
260,61,63
261,61,64
262,61,65
263,62,63
264,62,64
265,62,65
266,62,66
267,63,64
268,63,65
269,63,66
270,63,67
271,64,65
272,64,66
273,64,67
274,64,68
275,65,66
276,65,67
277,65,68
278,65,69
279,66,67
280,66,68
281,66,69
282,66,70
283,67,68
284,67,69
285,67,71
286,67,80
287,68,69
288,68,70
289,68,71
290,68,72
291,69,70
292,69,71
293,69,73
294,69,94
295,70,71
296,70,72
297,70,73
298,70,74
299,71,72
300,71,73
301,71,74
302,71,75
303,72,73
304,72,74
305,72,75
306,72,76
307,73,74
308,73,75
309,73,76
310,73,77
311,74,76
312,74,78
313,75,76
314,75,77
315,75,78
316,75,79
317,76,77
318,76,78
319,76,79
320,76,80
321,76,92
322,77,78
323,77,79
324,77,80
325,77,81
326,78,79
327,78,80
328,78,81
329,78,82
330,79,81
331,79,82
332,79,83
333,79,95
334,80,81
335,80,82
336,80,83
337,80,84
338,81,82
339,81,83
340,81,84
341,81,85
342,82,83
343,82,85
344,82,86
345,83,84
346,83,85
347,83,86
348,83,87
349,84,85
350,84,86
351,84,87
352,84,88
353,85,86
354,85,87
355,85,88
356,85,89
357,86,87
358,86,88
359,86,89
360,86,90
361,87,88
362,87,89
363,87,90
364,87,91
365,88,89
366,88,90
367,88,91
368,88,92
369,89,90
370,89,91
371,89,92
372,90,91
373,90,92
374,90,93
375,90,94
376,91,92
377,91,93
378,91,94
379,91,95
380,92,93
381,92,94
382,92,96
383,93,95
384,93,96
385,93,97
386,94,95
387,94,96
388,94,97
389,94,98
390,95,96
391,95,97
392,95,98
393,95,99
394,96,97
395,96,98
396,96,99
397,97,98
398,97,99
399,98,99
