node,labels
0,43.0
1,43.0
99,43.0
2,40.0
3,39.0
4,38.0
5,37.0
6,36.0
7,35.0
8,34.0
9,33.0
10,32.0
11,31.0
12,30.0
23,29.0
22,29.0
24,28.0
40,26.0
39,26.0
41,25.0
42,23.0
25,22.0
26,22.0
43,22.0
27,21.0
44,21.0
28,20.0
37,20.0
45,20.0
64,20.0
65,20.0
46,19.0
66,19.0
47,18.0
67,18.0
84,17.0
48,17.0
63,17.0
68,17.0
83,17.0
69,16.0
85,16.0
49,15.0
70,15.0
50,14.0
71,14.0
86,14.0
51,13.0
72,13.0
87,13.0
52,12.0
73,12.0
88,12.0
53,11.0
74,11.0
89,11.0
13,10.0
14,10.0
54,10.0
75,10.0
90,10.0
15,9.0
55,9.0
76,9.0
91,9.0
16,8.0
29,8.0
30,8.0
56,8.0
77,8.0
92,8.0
17,7.0
31,7.0
57,7.0
78,7.0
93,7.0
18,6.0
32,6.0
58,6.0
79,6.0
94,6.0
19,5.0
33,5.0
59,5.0
80,5.0
95,5.0
20,4.0
34,4.0
60,4.0
81,4.0
96,4.0
21,3.0
35,3.0
36,3.0
61,3.0
62,3.0
82,3.0
97,3.0
98,3.0
38,2.0
